source_file,arm,strength,frame_n,sample_n
results/gen_r3.jsonl,dirfix,0,360,12
results/gen_r3.jsonl,dirfix,0.5,360,24
results/gen_r3.jsonl,dirfix,1,360,24
results/gen_r3.jsonl,dirfix,1.25,360,24
results/gen_r3.jsonl,dirfix,1.5,360,24
results/gen_r3.jsonl,dirfix,2,360,24
results/gen_r3.jsonl,dirfix,2.5,360,24
results/gen_r3.jsonl,dirfix,3,360,24
results/gen_r3.jsonl,naive,0,360,12
results/gen_r3.jsonl,naive,0.5,360,24
results/gen_r3.jsonl,naive,1,360,24
results/gen_r3.jsonl,naive,1.25,360,24
results/gen_r3.jsonl,naive,1.5,360,24
results/gen_r3.jsonl,naive,2,360,24
results/gen_r3.jsonl,naive,2.5,360,24
results/gen_r3.jsonl,naive,3,360,24
results/gen_r3_ctrl.jsonl,randrot,0,360,12
results/gen_r3_ctrl.jsonl,randrot,1,360,24
results/gen_r3_ctrl.jsonl,randrot,1.5,360,24
results/gen_r3_ctrl.jsonl,randrot,2,360,24
results/gen_r3_ctrl.jsonl,randrot,3,360,24
