arm,strength,group,n,coherence_fluency_mean,coherence_fluency_median,prompt_relevance_mean,prompt_relevance_median,target_success_mean,target_success_median,degeneration_control_mean,degeneration_control_median,safety_integrity_mean,safety_integrity_median,overall_quality_mean,overall_quality_median,dimension_mean_mean,dimension_mean_median,coherent_count,coherent_share,relevant_count,relevant_share,concept_present_count,concept_present_share,concept_partial_or_ambiguous_count,concept_partial_or_ambiguous_share,degeneration_or_repetition_issue_count,degeneration_or_repetition_issue_share,severe_degeneration_count,severe_degeneration_share,safety_or_integrity_issue_count,safety_or_integrity_issue_share
dirfix,0.0,cell,12,4.333333,4.0,4.583333,5.0,1.25,1.0,4.916667,5.0,4.833333,5.0,3.083333,3.0,3.983333,4.0,12,1.0,11,0.916667,1,0.083333,0,0.0,0,0.0,0,0.0,0,0.0
dirfix,0.5,cell,24,4.0,4.0,4.375,5.0,2.25,1.0,4.708333,5.0,4.458333,5.0,3.208333,3.0,3.958333,4.0,20,0.833333,21,0.875,8,0.333333,0,0.0,3,0.125,0,0.0,3,0.125
dirfix,1.0,cell,24,3.0,3.0,3.666667,4.0,4.125,5.0,3.375,4.0,3.875,4.0,2.875,3.0,3.608333,3.8,11,0.458333,15,0.625,19,0.791667,1,0.041667,9,0.375,7,0.291667,6,0.25
dirfix,1.25,cell,24,2.666667,3.0,3.166667,3.0,4.0,5.0,2.916667,3.0,3.708333,4.0,2.625,3.0,3.291667,3.3,7,0.291667,9,0.375,18,0.75,1,0.041667,13,0.541667,10,0.416667,9,0.375
dirfix,1.5,cell,24,2.0,2.0,2.5,3.0,4.416667,5.0,2.291667,2.0,3.083333,3.0,2.083333,2.0,2.858333,3.0,0,0.0,8,0.333333,22,0.916667,0,0.0,20,0.833333,13,0.541667,14,0.583333
dirfix,2.0,cell,24,1.458333,1.0,1.875,1.0,4.041667,5.0,1.5,1.0,2.375,2.0,1.375,1.0,2.25,2.0,1,0.041667,2,0.083333,19,0.791667,0,0.0,22,0.916667,21,0.875,21,0.875
dirfix,2.5,cell,24,1.375,1.0,1.916667,1.0,3.875,5.0,1.5,1.0,2.291667,2.0,1.375,1.0,2.191667,2.0,1,0.041667,3,0.125,17,0.708333,1,0.041667,22,0.916667,21,0.875,21,0.875
dirfix,3.0,cell,24,1.166667,1.0,1.583333,1.0,3.833333,4.5,1.125,1.0,2.208333,2.0,1.166667,1.0,1.983333,1.9,0,0.0,3,0.125,18,0.75,1,0.041667,24,1.0,23,0.958333,21,0.875
naive,0.0,cell,12,4.333333,4.0,4.583333,5.0,1.25,1.0,4.916667,5.0,4.833333,5.0,3.083333,3.0,3.983333,4.0,12,1.0,11,0.916667,1,0.083333,0,0.0,0,0.0,0,0.0,0,0.0
naive,0.5,cell,24,3.875,4.0,4.333333,4.5,2.458333,1.0,4.875,5.0,4.291667,5.0,3.25,3.0,3.966667,4.0,19,0.791667,21,0.875,9,0.375,1,0.041667,0,0.0,0,0.0,5,0.208333
naive,1.0,cell,24,2.791667,3.0,3.416667,3.5,2.833333,3.0,3.875,4.0,3.75,4.0,2.5,3.0,3.333333,3.4,7,0.291667,12,0.5,11,0.458333,3,0.125,6,0.25,3,0.125,7,0.291667
naive,1.25,cell,24,2.25,2.0,2.541667,2.0,3.041667,3.5,3.333333,3.5,3.208333,3.0,2.25,2.0,2.875,3.0,3,0.125,6,0.25,12,0.5,3,0.125,12,0.5,5,0.208333,13,0.541667
naive,1.5,cell,24,2.166667,2.0,2.416667,2.0,3.291667,4.0,3.208333,3.5,3.208333,3.0,2.125,2.0,2.858333,2.8,2,0.083333,5,0.208333,13,0.541667,1,0.041667,12,0.5,6,0.25,13,0.541667
naive,2.0,cell,24,1.416667,1.0,1.791667,2.0,2.666667,2.0,2.333333,2.0,2.5,2.0,1.375,1.0,2.141667,2.1,0,0.0,1,0.041667,11,0.458333,0,0.0,20,0.833333,13,0.541667,20,0.833333
naive,2.5,cell,24,1.375,1.0,1.791667,1.5,2.583333,2.0,2.041667,2.0,2.416667,2.5,1.375,1.0,2.041667,2.0,0,0.0,2,0.083333,9,0.375,2,0.083333,23,0.958333,15,0.625,23,0.958333
naive,3.0,cell,24,1.166667,1.0,1.375,1.0,2.333333,2.0,1.666667,1.0,2.208333,2.0,1.166667,1.0,1.75,1.8,0,0.0,0,0.0,8,0.333333,0,0.0,23,0.958333,19,0.791667,23,0.958333
randrot,0.0,cell,12,4.333333,4.0,4.583333,5.0,1.25,1.0,4.916667,5.0,4.833333,5.0,3.083333,3.0,3.983333,4.0,12,1.0,11,0.916667,1,0.083333,0,0.0,0,0.0,0,0.0,0,0.0
randrot,1.0,cell,24,2.833333,3.0,3.541667,3.5,2.916667,3.0,4.041667,4.0,3.833333,4.0,2.75,3.0,3.433333,3.4,4,0.166667,12,0.5,11,0.458333,2,0.083333,4,0.166667,2,0.083333,5,0.208333
randrot,1.5,cell,24,1.916667,2.0,2.375,2.0,3.208333,4.0,3.333333,3.0,3.0,3.0,1.833333,2.0,2.766667,2.8,1,0.041667,5,0.208333,13,0.541667,3,0.125,13,0.541667,5,0.208333,19,0.791667
randrot,2.0,cell,24,1.416667,1.0,1.875,1.5,2.333333,2.0,2.625,3.0,2.5,3.0,1.416667,1.0,2.15,2.1,0,0.0,1,0.041667,8,0.333333,1,0.041667,20,0.833333,8,0.333333,22,0.916667
randrot,3.0,cell,24,1.125,1.0,1.416667,1.0,2.291667,2.0,1.833333,1.0,2.125,2.0,1.125,1.0,1.758333,1.8,0,0.0,0,0.0,7,0.291667,3,0.125,23,0.958333,16,0.666667,23,0.958333
