arm,c,nll,top1_acc,n_features,nll_delta_vs_c0,acc_delta_vs_c0
dirfix,0.0,3.1771211894914217,0.4066470588235294,4,0.0,0.0
dirfix,0.5,3.2425209577971814,0.3995098039215686,4,0.06539976830575966,-0.007137254901960821
dirfix,1.0,3.504895675359988,0.3703725490196078,4,0.32777448586856606,-0.036274509803921606
dirfix,1.5,4.1479797985600495,0.307921568627451,4,0.9708586090686278,-0.0987254901960784
dirfix,2.0,5.095160845588235,0.2410343137254902,4,1.9180396560968132,-0.16561274509803922
dirfix,3.0,6.762472541360295,0.17311764705882354,4,3.5853513518688733,-0.23352941176470587
dirfix,4.0,8.078301662071079,0.12931862745098038,4,4.901180472579657,-0.27732843137254903
dirfix,5.0,9.412613587622548,0.08243627450980393,4,6.235492398131127,-0.3242107843137255
naive,0.0,3.1771211894914217,0.4066470588235294,4,0.0,0.0
naive,0.5,3.4365454388786767,0.3770294117647059,4,0.25942424938725495,-0.029617647058823526
naive,1.0,4.523164139093137,0.25826960784313724,4,1.3460429496017157,-0.14837745098039218
naive,1.5,6.21468568091299,0.17761764705882355,4,3.0375644914215685,-0.22902941176470587
naive,2.0,7.859901328890931,0.1264264705882353,4,4.68278013939951,-0.2802205882352941
naive,3.0,10.146898992800246,0.04421078431372549,4,6.9697778033088245,-0.3624362745098039
naive,4.0,11.58226097196691,0.028151960784313722,4,8.405139782475489,-0.3784950980392157
naive,5.0,12.487916168811275,0.026151960784313727,4,9.310794979319853,-0.38049509803921566
