feature,c,arm,A,C
3272,0.5,naive,31.6915283203125,0.22526654601097107
3272,0.5,norm_preserving,31.354167938232422,0.19723336398601532
3272,0.5,denoise_naive,24.669445037841797,0.6838467121124268
3272,0.5,cds,37.51829528808594,0.5301936268806458
3272,0.5,mts,42.630306243896484,5.2396674156188965
3272,1.0,naive,61.61446762084961,0.7571800947189331
3272,1.0,norm_preserving,61.25455856323242,0.6856740713119507
3272,1.0,denoise_naive,46.84811019897461,1.0054271221160889
3272,1.0,cds,69.69345092773438,2.109114646911621
3272,1.0,mts,48.816463470458984,5.225285053253174
3272,1.5,naive,74.50148010253906,1.4430984258651733
3272,1.5,norm_preserving,72.56615447998047,1.4125875234603882
3272,1.5,denoise_naive,59.70145034790039,2.14057993888855
3272,1.5,cds,67.88333129882812,4.176517963409424
3272,1.5,mts,53.5032844543457,7.9022536277771
3272,2.0,naive,77.15065002441406,2.127615213394165
3272,2.0,norm_preserving,69.6778564453125,3.040296792984009
3272,2.0,denoise_naive,59.32831954956055,5.181807994842529
3272,2.0,cds,69.74169158935547,6.549200057983398
3272,2.0,mts,56.48617935180664,10.37734603881836
3272,3.0,naive,81.00184631347656,10.545608520507812
3272,3.0,norm_preserving,61.511436462402344,4.258447647094727
3272,3.0,denoise_naive,55.03172302246094,10.68423843383789
3272,3.0,cds,76.30329132080078,8.255789756774902
3272,3.0,mts,61.52103042602539,8.178081512451172
16355,0.5,naive,20.398326873779297,0.1587052047252655
16355,0.5,norm_preserving,20.288869857788086,0.14121940732002258
16355,0.5,denoise_naive,16.70122528076172,0.7150196433067322
16355,0.5,cds,22.31281089782715,0.422922283411026
16355,0.5,mts,26.16374969482422,2.98728346824646
16355,1.0,naive,40.1913948059082,0.5018350481987
16355,1.0,norm_preserving,40.176170349121094,0.4605751037597656
16355,1.0,denoise_naive,30.6966495513916,0.7572452425956726
16355,1.0,cds,45.77882766723633,0.9216852784156799
16355,1.0,mts,36.62623596191406,5.373409271240234
16355,1.5,naive,54.17060852050781,0.8922264575958252
16355,1.5,norm_preserving,54.719078063964844,0.8448702692985535
16355,1.5,denoise_naive,39.39421844482422,1.079312801361084
16355,1.5,cds,55.48732376098633,2.2345468997955322
16355,1.5,mts,33.745540618896484,9.091038703918457
16355,2.0,naive,61.23591232299805,1.3043919801712036
16355,2.0,norm_preserving,61.46282958984375,1.299569010734558
16355,2.0,denoise_naive,43.16407012939453,1.7459945678710938
16355,2.0,cds,55.218936920166016,3.816394805908203
16355,2.0,mts,22.739723205566406,27.189241409301758
16355,3.0,naive,65.40353393554688,1.9602222442626953
16355,3.0,norm_preserving,61.97470474243164,2.18861722946167
16355,3.0,denoise_naive,42.63827133178711,5.764148235321045
16355,3.0,cds,54.73834228515625,4.648830413818359
16355,3.0,mts,21.84919548034668,15.543228149414062
14434,0.5,naive,23.802560806274414,0.1613713651895523
14434,0.5,norm_preserving,23.29537582397461,0.14378803968429565
14434,0.5,denoise_naive,18.508705139160156,0.6710394620895386
14434,0.5,cds,26.978546142578125,0.41615232825279236
