arm,c,A_mean,A_median,C_mean,C_median
cds,0.5,25.40091820557912,25.43767738342285,0.6114404002825419,0.5992511510848999
cds,1.0,44.82687942186991,46.61679458618164,2.0439905176560083,1.43345707654953
cds,1.5,46.45407565434774,46.5089054107666,3.553287615378698,4.0619587898254395
cds,2.0,46.6290914217631,46.24067306518555,5.404184773564339,4.967649459838867
cds,3.0,49.69872236251831,49.47074317932129,7.726911733547847,4.931062698364258
denoise_naive,0.5,16.995519200960796,17.687630653381348,0.8318074444929758,0.6736380159854889
denoise_naive,1.0,31.716143369674683,32.829458236694336,0.9004191706577936,0.781291276216507
denoise_naive,1.5,40.211729526519775,41.74034881591797,1.3277271836996078,1.114759624004364
denoise_naive,2.0,42.87507518132528,43.19643974304199,3.1594773630301156,1.665688157081604
denoise_naive,3.0,41.62411975860596,41.26206016540527,4.409289747476578,4.5734288692474365
dirfix,0.5,17.849541783332825,17.991918563842773,0.4822860434651375,0.42130015790462494
dirfix,1.0,38.05951269467672,38.54043769836426,0.5707910632093748,0.5451870560646057
dirfix,1.5,54.889572302500405,56.69256782531738,0.8283390179276466,0.7945616245269775
dirfix,2.0,65.80693356196086,66.45256042480469,1.36687687287728,1.0771231055259705
dirfix,3.0,76.21769587198894,74.96818542480469,1.663040891289711,1.5942544341087341
mts,0.5,25.436205347379047,25.03892707824707,275.45507966478664,2.6451144218444824
mts,1.0,34.77638300259908,35.06585884094238,9.519048829873404,4.339059829711914
mts,1.5,38.38381306330363,37.76056671142578,9.103472610314688,6.281715393066406
mts,2.0,40.209259033203125,41.62323760986328,15.075636516014734,6.911087989807129
mts,3.0,44.646980126698814,47.31901931762695,13.310280005137125,9.316955089569092
naive,0.5,20.472078402837116,20.77143669128418,0.166551798582077,0.16608520597219467
naive,1.0,39.044433991114296,39.985761642456055,0.5465114936232567,0.550387442111969
naive,1.5,49.81746657689413,54.53588676452637,1.03006362169981,0.9690619707107544
naive,2.0,54.53061532974243,57.720903396606445,1.7117598056793213,1.3674359917640686
naive,3.0,58.09594758351644,58.97849655151367,2.9595527946949005,2.419250726699829
norm_preserving,0.5,20.390880346298218,20.825793266296387,0.1512323301285505,0.1474993005394935
norm_preserving,1.0,39.23732868830363,40.13270950317383,0.5018955431878567,0.4865875095129013
norm_preserving,1.5,50.18358564376831,54.84940719604492,1.080843910574913,0.9291408360004424
norm_preserving,2.0,54.087300618489586,56.44012260437012,1.68585308889548,1.342230498790741
norm_preserving,3.0,54.02810573577881,53.07112693786621,2.9143639306227365,2.5384777784347534
