feature,arm,c,logppl,concept,n
835,dirfix,0.0,3.4431234995524087,0.0,30
835,dirfix,0.5,3.5890392065048218,0.0,30
835,dirfix,1.0,4.4408034324646,0.0,30
835,dirfix,1.25,4.80676961739858,0.0,30
835,dirfix,1.5,5.1958984931310015,0.0,30
835,dirfix,2.0,5.383147891362508,0.0,30
835,dirfix,2.5,4.899187421798706,0.0,30
835,dirfix,3.0,4.429114166895548,0.0,30
835,naive,0.0,3.4431234995524087,0.0,30
835,naive,0.5,4.024813413619995,0.2,30
835,naive,1.0,5.2037036418914795,0.4666666666666667,30
835,naive,1.25,5.501045656204224,0.23333333333333334,30
835,naive,1.5,6.1258760293324785,0.13333333333333333,30
835,naive,2.0,6.723734394709269,0.0,30
835,naive,2.5,6.740591017405192,0.0,30
835,naive,3.0,6.66665825843811,0.0,30
3272,dirfix,0.0,3.4431234995524087,0.0,30
3272,dirfix,0.5,3.5147380431493125,0.3333333333333333,30
3272,dirfix,1.0,2.6075063864390056,1.0,30
3272,dirfix,1.25,1.6753853877385458,1.0,30
3272,dirfix,1.5,1.170855575799942,1.0,30
3272,dirfix,2.0,0.7376406043767929,1.0,30
3272,dirfix,2.5,0.44145763516426084,1.0,30
3272,dirfix,3.0,0.3914321223894755,1.0,30
3272,naive,0.0,3.4431234995524087,0.0,30
3272,naive,0.5,4.16276121934255,0.3333333333333333,30
3272,naive,1.0,5.7169275442759195,0.6666666666666666,30
3272,naive,1.25,6.3337727069854735,0.5333333333333333,30
3272,naive,1.5,6.437649043401082,0.7666666666666667,30
3272,naive,2.0,5.998076550165812,0.9333333333333333,30
3272,naive,2.5,5.245029107729594,1.0,30
3272,naive,3.0,4.1563024918238325,1.0,30
4151,dirfix,0.0,3.4431234995524087,0.16666666666666666,30
4151,dirfix,0.5,3.764619493484497,0.23333333333333334,30
4151,dirfix,1.0,4.1028022567431135,0.1,30
4151,dirfix,1.25,4.537438265482584,0.03333333333333333,30
4151,dirfix,1.5,5.005727855364482,0.1,30
4151,dirfix,2.0,5.675552328427632,0.06666666666666667,30
4151,dirfix,2.5,6.10472297668457,0.03333333333333333,30
4151,dirfix,3.0,6.432188193003337,0.0,30
4151,naive,0.0,3.4431234995524087,0.16666666666666666,30
4151,naive,0.5,3.4272615909576416,0.13333333333333333,30
4151,naive,1.0,4.196756680806478,0.2,30
4151,naive,1.25,4.688388379414876,0.2,30
4151,naive,1.5,4.209074060122172,0.1,30
4151,naive,2.0,1.68678431113561,0.0,30
4151,naive,2.5,1.1545214215914408,0.0,30
4151,naive,3.0,1.1222812334696453,0.0,30
5843,dirfix,0.0,3.4431234995524087,0.06666666666666667,30
5843,dirfix,0.5,3.577680762608846,0.2,30
5843,dirfix,1.0,3.9787697474161785,0.26666666666666666,30
5843,dirfix,1.25,4.1579740444819135,0.3,30
5843,dirfix,1.5,4.168672196070353,0.5,30
