arm,c,matched,mismatched,specificity
centred,0.0,0.0222,0.0222,0.0
centred,0.5,0.2722,0.0396,0.2326
centred,1.0,0.4222,0.0336,0.3886
centred,1.5,0.3056,0.0323,0.2733
centred,2.0,0.1694,0.021,0.1484
centred,3.0,0.0556,0.0146,0.041
diffmeans,0.0,0.0222,0.0222,0.0
diffmeans,0.5,0.2694,0.0361,0.2333
diffmeans,1.0,0.4333,0.0308,0.4025
diffmeans,1.5,0.3056,0.0197,0.2859
diffmeans,2.0,0.1889,0.0131,0.1758
diffmeans,3.0,0.1139,0.0063,0.1076
diffmeans_purified,0.0,0.0222,0.0222,0.0
diffmeans_purified,0.5,0.2639,0.0359,0.228
diffmeans_purified,1.0,0.4167,0.0306,0.3861
diffmeans_purified,1.5,0.2778,0.0177,0.2601
diffmeans_purified,2.0,0.175,0.0136,0.1614
diffmeans_purified,3.0,0.1194,0.0061,0.1133
dirfix,0.0,0.0222,0.0222,0.0
dirfix,0.5,0.275,0.0389,0.2361
dirfix,1.0,0.7056,0.0391,0.6665
dirfix,1.5,0.6972,0.0379,0.6593
dirfix,2.0,0.6111,0.0253,0.5858
dirfix,3.0,0.5111,0.0134,0.4977
naive,0.0,0.0222,0.0222,0.0
naive,0.5,0.2556,0.0402,0.2154
naive,1.0,0.425,0.0331,0.3919
naive,1.5,0.3056,0.0301,0.2755
naive,2.0,0.1889,0.0199,0.169
naive,3.0,0.0611,0.0144,0.0467
purified,0.0,0.0222,0.0222,0.0
purified,0.5,0.2417,0.0417,0.2
purified,1.0,0.4083,0.0354,0.3729
purified,1.5,0.3167,0.0316,0.2851
purified,2.0,0.1667,0.0207,0.146
purified,3.0,0.0556,0.0141,0.0415
rotate,0.0,0.0222,0.0222,0.0
rotate,0.5,0.2667,0.0407,0.226
rotate,1.0,0.3417,0.0285,0.3132
rotate,1.5,0.1528,0.0263,0.1265
rotate,2.0,0.0417,0.0114,0.0303
rotate,3.0,0.0083,0.0058,0.0025
shared,0.0,0.0222,0.0222,0.0
shared,0.5,0.2556,0.0376,0.218
shared,1.0,0.7333,0.0361,0.6972
shared,1.5,0.7917,0.0265,0.7652
shared,2.0,0.7639,0.0134,0.7505
shared,3.0,0.7306,0.0066,0.724
