arm,c,matched,mismatched,specificity
dirfix,0.0,0.0222,0.0222,0.0
dirfix,0.5,0.275,0.0389,0.2361
dirfix,1.0,0.7056,0.0391,0.6665
dirfix,1.25,0.7056,0.0369,0.6687
dirfix,1.5,0.6972,0.0379,0.6593
dirfix,2.0,0.6111,0.0253,0.5858
dirfix,2.5,0.575,0.0154,0.5596
dirfix,3.0,0.5111,0.0134,0.4977
naive,0.0,0.0222,0.0222,0.0
naive,0.5,0.2556,0.0402,0.2154
naive,1.0,0.425,0.0331,0.3919
naive,1.25,0.3694,0.028,0.3414
naive,1.5,0.3056,0.0301,0.2755
naive,2.0,0.1889,0.0199,0.169
naive,2.5,0.0972,0.0174,0.0798
naive,3.0,0.0611,0.0144,0.0467
