feature,arm,ref_c,budget_logppl,concept_at_budget
835,dirfix,1.0,5.203703594207764,0.9333333333333333
835,naive,1.0,5.203703594207764,0.4666666666666667
3272,dirfix,1.0,5.717141946156819,1.0
3272,naive,1.0,5.717141946156819,1.0
4151,dirfix,1.0,4.197014164924622,0.2
4151,naive,1.0,4.197014164924622,0.2
5843,dirfix,1.0,3.9737518390019733,0.2658343549925617
5843,naive,1.0,3.9737518390019733,0.29471363836316833
7998,dirfix,1.0,4.374849681059519,1.0
7998,naive,1.0,4.374849681059519,0.6
8925,dirfix,1.0,4.673318036397299,1.0
8925,naive,1.0,4.673318036397299,0.5
13094,dirfix,1.0,6.438615179061889,1.0
13094,naive,1.0,6.438615179061889,0.4666666666666667
14434,dirfix,1.0,5.528775453567505,0.9038006408113547
14434,naive,1.0,5.528775453567505,0.7333333333333333
15503,dirfix,1.0,4.901609134674072,0.9
15503,naive,1.0,4.901609134674072,0.8786868961698249
16355,dirfix,1.0,4.724490706125895,0.3238404742491049
16355,naive,1.0,4.724490706125895,0.13333333333333333
17590,dirfix,1.0,3.6636135896046955,0.5333333333333333
17590,naive,1.0,3.6636135896046955,0.5039630568646137
23860,dirfix,1.0,4.992749603589376,0.9668077445100515
23860,naive,1.0,4.992749603589376,0.6333333333333333
