ref_c,arm,concept_at_budget,delta_mean,delta_lo95,delta_hi95,p_gt_0
1.5,cds,0.5094432256567527,0.07949898448565773,-0.10230054183370524,0.2936415689217821,0.7710843373493976
1.5,clean,,,,,
1.5,denoise_naive,0.4606741882773975,0.04134259949925151,-0.23561703800558,0.3143168827553706,0.6282828282828283
1.5,fsr,0.3745042131375701,-0.017761425030155337,-0.19440162214696927,0.11779070988013775,0.448692152917505
1.5,mts,0.20970258357598118,-0.2017765232901741,-0.45759448684312437,0.06999475922345776,0.05220883534136546
1.5,naive,0.4397668535003702,0.0,0.0,0.0,0.0
1.5,norm_preserving,0.3668934629341858,0.032278785904854154,-0.19233537131631284,0.30473112703324573,0.5795918367346938
2.0,cds,0.35221612644487776,0.023592961464818898,-0.2085791320176012,0.2984509654261132,0.5390781563126252
2.0,clean,,,,,
2.0,denoise_naive,0.19127851924333616,-0.06973095800183979,-0.37021049291266284,0.3136958426396316,0.33669354838709675
2.0,fsr,0.287749266455793,-0.07954579228608258,-0.3416690568932126,0.0933016704706179,0.24748490945674045
2.0,mts,0.22945435134746237,-0.1335177212929434,-0.44857703198277343,0.16283278738151669,0.19438877755511022
2.0,naive,0.33441891741267116,0.0,0.0,0.0,0.0
2.0,norm_preserving,0.313732392946943,-0.0076066210043818335,-0.29548384471795447,0.3119389116775995,0.5
