feature,c,base_logppl,arm_logppl,delta_logppl,sign_opposite_logppl,base_keyword_hit,arm_keyword_hit,delta_keyword_hit,sign_opposite_keyword_hit
359,1.0,4.445861593882243,4.3115630070368445,-0.1342985868453983,False,0.6333333333333333,0.7,0.06666666666666665,False
1344,1.0,5.5208391666412355,5.084706155459086,-0.4361330111821493,False,0.9666666666666667,0.9333333333333333,-0.033333333333333326,True
4317,1.0,4.355145724614461,4.029195968310038,-0.32594975630442313,False,0.16666666666666666,0.0,-0.16666666666666666,True
4398,1.0,5.31863694190979,4.891916306813558,-0.42672063509623204,False,0.26666666666666666,0.7,0.4333333333333333,False
6587,1.0,5.507696493466695,4.875835053126017,-0.6318614403406784,False,0.7333333333333333,0.6,-0.1333333333333333,True
6911,1.0,4.642797223726908,4.194367241859436,-0.44842998186747174,False,0.4666666666666667,0.6333333333333333,0.16666666666666663,False
7848,1.0,5.877863041559855,5.318246324857076,-0.559616716702779,False,0.2,0.16666666666666666,-0.033333333333333354,True
14891,1.0,5.1933200041453045,4.876444498697917,-0.3168755054473875,False,0.8666666666666667,0.8333333333333334,-0.033333333333333326,True
15507,1.0,4.309838636716207,4.622217623392741,0.3123789866765341,True,0.0,0.16666666666666666,0.16666666666666666,False
15664,1.0,4.841157619158427,4.446033732096354,-0.3951238870620726,False,0.9333333333333333,0.8,-0.1333333333333333,True
17102,1.0,5.143382604916891,4.9623270511627195,-0.18105555375417115,False,0.3333333333333333,0.26666666666666666,-0.06666666666666665,True
23257,1.0,5.006562582651774,4.294728366533915,-0.7118342161178584,False,0.26666666666666666,0.23333333333333334,-0.033333333333333326,True
359,1.5,3.1642854889233907,3.8555638551712037,0.691278366247813,True,0.2,0.43333333333333335,0.23333333333333334,False
1344,1.5,6.587676858901977,6.047948058446249,-0.5397288004557286,False,0.9,0.9666666666666667,0.06666666666666665,False
4317,1.5,5.164029343922933,4.891611631711324,-0.2724177122116087,False,0.36666666666666664,0.16666666666666666,-0.19999999999999998,True
4398,1.5,6.42907894452413,6.103890546162924,-0.32518839836120605,False,0.06666666666666667,0.2,0.13333333333333336,False
6587,1.5,6.545743942260742,6.1784898440043134,-0.36725409825642874,False,0.8,0.7,-0.10000000000000009,True
6911,1.5,5.900172583262125,5.242736546198527,-0.6574360370635981,False,0.3,0.3333333333333333,0.033333333333333326,False
7848,1.5,6.774360942840576,6.460882234573364,-0.3134787082672119,False,0.2,0.3333333333333333,0.1333333333333333,False
14891,1.5,6.262852255503336,5.6504873911539715,-0.6123648643493649,False,0.7333333333333333,0.9,0.16666666666666674,False
15507,1.5,1.8906424542268117,2.678038207689921,0.7873957534631095,True,0.0,0.0,0.0,False
15664,1.5,5.953914276758829,5.350963727633158,-0.602950549125671,False,0.43333333333333335,0.8,0.3666666666666667,False
17102,1.5,6.221953344345093,5.780550988515218,-0.44140235582987497,False,0.03333333333333333,0.1,0.06666666666666668,False
23257,1.5,6.709430344899496,5.699582084019979,-1.009848260879517,False,0.2,0.4,0.2,False
359,2.0,2.136661779880524,2.969325049718221,0.8326632698376972,False,0.0,0.16666666666666666,0.16666666666666666,False
1344,2.0,6.8398193200429285,6.816374683380127,-0.023444636662801166,True,0.6666666666666666,0.9,0.2333333333333334,False
4317,2.0,5.953251806894938,5.640592988332113,-0.3126588185628254,True,0.13333333333333333,0.26666666666666666,0.13333333333333333,False
4398,2.0,6.859190845489502,6.493099578221639,-0.3660912672678629,True,0.0,0.0,0.0,False
6587,2.0,6.10467267036438,6.771791330973307,0.667118660608927,False,0.4666666666666667,0.8,0.33333333333333337,False
6911,2.0,6.463280153274536,5.971602376302084,-0.49167777697245274,True,0.1,0.23333333333333334,0.13333333333333333,False
7848,2.0,6.453631337483724,6.703515847524007,0.24988451004028267,False,0.16666666666666666,0.26666666666666666,0.1,False
14891,2.0,7.241084973017375,6.746203104654948,-0.49488186836242676,True,0.36666666666666664,0.6333333333333333,0.26666666666666666,False
15507,2.0,1.3967510263125102,1.436888227860133,0.04013720154762268,False,0.0,0.0,0.0,False
15664,2.0,4.552017609278361,5.348397048314412,0.796379439036051,False,0.13333333333333333,0.3,0.16666666666666666,False
17102,2.0,6.682785193125407,6.537579043706258,-0.145206149419149,True,0.03333333333333333,0.0,-0.03333333333333333,True
23257,2.0,7.616453393300374,6.89475827217102,-0.7216951211293541,True,0.06666666666666667,0.2,0.13333333333333336,False
