feature,c,base_logppl,arm_logppl,delta_logppl,sign_opposite_logppl,base_keyword_hit,arm_keyword_hit,delta_keyword_hit,sign_opposite_keyword_hit
359,1.0,4.363048815727234,4.658169881502787,0.29512106577555297,True,0.43333333333333335,0.7,0.2666666666666666,True
1344,1.0,5.547702232996623,5.554762013753256,0.007059780756632605,True,0.9666666666666667,0.9666666666666667,0.0,False
4317,1.0,4.421716340382894,4.151335390408834,-0.2703809499740606,False,0.2,0.1,-0.1,False
4398,1.0,5.322229162851969,5.4080508550008135,0.08582169214884416,True,0.3,0.3333333333333333,0.033333333333333326,True
6587,1.0,5.493352476755778,5.381095401446024,-0.1122570753097536,False,0.43333333333333335,0.4,-0.033333333333333326,False
6911,1.0,4.947955060005188,4.6991236766179405,-0.2488313833872473,False,0.26666666666666666,0.26666666666666666,0.0,False
7848,1.0,5.891810655593872,5.9531713962554935,0.06136074066162145,True,0.13333333333333333,0.13333333333333333,0.0,False
14891,1.0,5.021746246019999,5.072814679145813,0.05106843312581333,True,0.8666666666666667,0.7666666666666667,-0.09999999999999998,False
15507,1.0,4.10716142654419,4.175702293713887,0.06854086716969743,True,0.0,0.0,0.0,False
15664,1.0,5.105449684460958,5.075113010406494,-0.03033667405446394,False,0.9,0.9,0.0,False
17102,1.0,5.1598912080128985,5.075627128283183,-0.08426407972971539,False,0.23333333333333334,0.16666666666666666,-0.06666666666666668,False
23257,1.0,4.99003320535024,4.93670342763265,-0.05332977771759051,False,0.36666666666666664,0.3333333333333333,-0.033333333333333326,False
359,1.5,3.274575916926066,3.740691594282786,0.4661156773567199,False,0.13333333333333333,0.3333333333333333,0.19999999999999998,True
1344,1.5,6.356317472457886,6.40352381070455,0.04720633824666365,False,0.9666666666666667,0.9666666666666667,0.0,False
4317,1.5,5.13676430384318,5.155111757914225,0.0183474540710451,False,0.2,0.2,0.0,False
4398,1.5,6.50127813021342,6.540689611434937,0.039411481221517164,False,0.03333333333333333,0.03333333333333333,0.0,False
6587,1.5,6.6885914007822675,6.634966087341309,-0.05362531344095878,True,0.6666666666666666,0.6666666666666666,0.0,False
6911,1.5,6.0930607159932455,6.195552285512289,0.10249156951904315,False,0.2,0.13333333333333333,-0.06666666666666668,False
7848,1.5,6.749084949493408,6.741637325286865,-0.007447624206543324,True,0.16666666666666666,0.16666666666666666,0.0,False
14891,1.5,6.498346471786499,6.477215194702149,-0.021131277084350586,True,0.6333333333333333,0.5666666666666667,-0.06666666666666665,False
15507,1.5,1.742042225599289,1.823126914103826,0.0810846885045371,False,0.0,0.0,0.0,False
15664,1.5,5.993053960800171,6.021980349222819,0.028926388422648053,False,0.43333333333333335,0.4,-0.033333333333333326,False
17102,1.5,6.225053564707438,6.062641954421997,-0.16241161028544138,True,0.1,0.06666666666666667,-0.03333333333333334,False
23257,1.5,6.799249219894409,6.8799892584482825,0.08074003855387346,False,0.13333333333333333,0.13333333333333333,0.0,False
359,2.0,2.2967101454734804,2.472896897792816,0.17618675231933567,True,0.0,0.0,0.0,False
1344,2.0,7.025275214513143,6.924472506841024,-0.10080270767211896,False,0.6666666666666666,0.6333333333333333,-0.033333333333333326,False
4317,2.0,6.031586138407389,6.1035978158315025,0.07201167742411307,True,0.2,0.03333333333333333,-0.16666666666666669,False
4398,2.0,6.733969243367513,6.701196082433065,-0.03277316093444771,False,0.0,0.03333333333333333,0.03333333333333333,True
6587,2.0,6.211942593256633,6.216125377019247,0.004182783762614051,True,0.5333333333333333,0.5333333333333333,0.0,False
6911,2.0,6.704061651229859,6.621006107330322,-0.08305554389953684,False,0.1,0.1,0.0,False
7848,2.0,6.693846766153971,6.6716741243998205,-0.022172641754150568,False,0.13333333333333333,0.13333333333333333,0.0,False
14891,2.0,7.4050571123758955,7.1840569814046225,-0.22100013097127302,False,0.36666666666666664,0.36666666666666664,0.0,False
15507,2.0,1.3888040403525035,1.456664514541626,0.06786047418912244,True,0.0,0.0,0.0,False
15664,2.0,4.7960957010587055,4.7841658671696985,-0.011929833889007035,False,0.13333333333333333,0.06666666666666667,-0.06666666666666667,False
17102,2.0,6.653599373499552,6.440598106384277,-0.213001267115275,False,0.03333333333333333,0.03333333333333333,0.0,False
23257,2.0,7.481749312082926,7.492077334721883,0.010328022638956824,True,0.1,0.1,0.0,False
