feature,c,base_logppl,arm_logppl,delta_logppl,sign_opposite_logppl,base_keyword_hit,arm_keyword_hit,delta_keyword_hit,sign_opposite_keyword_hit
359,1.0,4.363048815727234,1.8213188151518505,-2.5417300005753836,False,0.43333333333333335,0.8333333333333334,0.4,False
1344,1.0,5.547702232996623,3.102479346593221,-2.445222886403402,False,0.9666666666666667,1.0,0.033333333333333326,False
4317,1.0,4.421716340382894,3.3971540331840515,-1.0245623071988428,False,0.2,0.2,0.0,False
4398,1.0,5.322229162851969,3.8968794345855713,-1.425349728266398,False,0.3,1.0,0.7,False
6587,1.0,5.493352476755778,3.7095382173856097,-1.783814259370168,False,0.43333333333333335,0.8666666666666667,0.43333333333333335,False
6911,1.0,4.947955060005188,3.3199546058972675,-1.6280004541079203,False,0.26666666666666666,0.9666666666666667,0.7,False
7848,1.0,5.891810655593872,3.3932884375254315,-2.4985222180684405,False,0.13333333333333333,0.2,0.06666666666666668,False
14891,1.0,5.021746246019999,3.547464009126027,-1.474282236893972,False,0.8666666666666667,0.9666666666666667,0.09999999999999998,False
15507,1.0,4.10716142654419,3.4754788080851235,-0.6316826184590663,False,0.0,0.06666666666666667,0.06666666666666667,False
15664,1.0,5.105449684460958,3.112522304058075,-1.9929273804028833,False,0.9,0.9333333333333333,0.033333333333333326,False
17102,1.0,5.1598912080128985,3.761735447247823,-1.3981557607650754,False,0.23333333333333334,0.9333333333333333,0.7,False
23257,1.0,4.99003320535024,3.733262022336324,-1.256771183013916,False,0.36666666666666664,0.8333333333333334,0.46666666666666673,False
359,1.5,3.274575916926066,1.3377008239428203,-1.936875092983246,False,0.13333333333333333,0.5,0.3666666666666667,False
1344,1.5,6.356317472457886,2.3752390325069426,-3.9810784399509433,False,0.9666666666666667,1.0,0.033333333333333326,False
4317,1.5,5.13676430384318,3.5732632080713906,-1.5635010957717896,False,0.2,0.7333333333333333,0.5333333333333332,False
4398,1.5,6.50127813021342,4.0474180459976195,-2.4538600842158003,False,0.03333333333333333,1.0,0.9666666666666667,False
6587,1.5,6.6885914007822675,2.8268020033836363,-3.8617893973986313,False,0.6666666666666666,0.9666666666666667,0.30000000000000004,False
6911,1.5,6.0930607159932455,3.616925474007924,-2.4761352419853213,False,0.2,1.0,0.8,False
7848,1.5,6.749084949493408,2.3739801545937858,-4.375104794899622,False,0.16666666666666666,0.3333333333333333,0.16666666666666666,False
14891,1.5,6.498346471786499,2.6583632429440818,-3.8399832288424176,False,0.6333333333333333,1.0,0.3666666666666667,False
15507,1.5,1.742042225599289,1.9635734806458156,0.2215312550465267,True,0.0,0.0,0.0,False
15664,1.5,5.993053960800171,2.3177123705546063,-3.6753415902455644,False,0.43333333333333335,1.0,0.5666666666666667,False
17102,1.5,6.225053564707438,4.6652580261230465,-1.5597955385843916,False,0.1,0.9666666666666667,0.8666666666666667,False
23257,1.5,6.799249219894409,3.200669244925181,-3.598579974969228,False,0.13333333333333333,1.0,0.8666666666666667,False
359,2.0,2.2967101454734804,1.1903173188368479,-1.1063928266366325,False,0.0,0.3333333333333333,0.3333333333333333,False
1344,2.0,7.025275214513143,2.059577033917109,-4.965698180596034,False,0.6666666666666666,1.0,0.33333333333333337,False
4317,2.0,6.031586138407389,4.092328755060832,-1.9392573833465576,False,0.2,0.8333333333333334,0.6333333333333333,False
4398,2.0,6.733969243367513,3.1509540478388467,-3.583015195528666,False,0.0,1.0,1.0,False
6587,2.0,6.211942593256633,2.3624666810035704,-3.8494759122530624,False,0.5333333333333333,1.0,0.4666666666666667,False
6911,2.0,6.704061651229859,2.760961574316025,-3.943100076913834,False,0.1,1.0,0.9,False
7848,2.0,6.693846766153971,1.2318221320708593,-5.462024634083112,False,0.13333333333333333,0.03333333333333333,-0.1,True
14891,2.0,7.4050571123758955,2.299950138727824,-5.105106973648072,False,0.36666666666666664,1.0,0.6333333333333333,False
15507,2.0,1.3888040403525035,1.3214568475882211,-0.06734719276428236,False,0.0,0.0,0.0,False
15664,2.0,4.7960957010587055,1.5701281408468881,-3.225967560211817,False,0.13333333333333333,1.0,0.8666666666666667,False
17102,2.0,6.653599373499552,4.79320824543635,-1.8603911280632017,False,0.03333333333333333,0.9666666666666667,0.9333333333333333,False
23257,2.0,7.481749312082926,3.0470521012941996,-4.434697210788727,False,0.1,1.0,0.9,False
