index,dec_norm,var_along,kappa_tilt,freq,mean_act,n_distinct,content_mass,blocked
0,1.000108,9.433011,2.2548492,0.000593254,2.3070164,35,0.0,False
1,1.0000352,14.646858,1.5402018,0.00046164021,12.870798,1,0.0,False
2,1.0000261,11.668871,1.692248,0.00025727513,3.0185964,37,0.5964449383270727,False
3,1.0000713,19.534348,1.810001,0.010810185,0.7181797,31,0.08381866725685186,False
4,1.0000557,22.435877,1.589085,0.004542989,2.2473128,145,0.3161200066885074,False
5,1.0000278,15.14206,2.3645768,0.0029933862,3.0758386,52,0.12119942525524188,False
6,1.0000217,11.288239,2.0322158,0.0023630953,2.6237886,49,0.7180222122136473,False
7,1.0000436,25.693365,1.8223833,0.00012896826,7.785488,5,1.0,False
8,1.0000107,37.23006,1.570026,0.00073809526,4.057333,15,1.0,False
9,1.0000386,17.709599,1.1854831,0.0010621693,10.686071,1,0.0,False
10,1.0000803,18.591473,1.0609515,0.0010582011,12.174919,1,0.0,False
11,1.0000589,12.804869,1.636407,0.00024404762,10.581269,5,0.0,False
12,1.0000018,21.114504,1.4664348,0.00012698413,10.915705,2,0.0,False
13,1.0000575,12.135269,1.5980663,0.00048809525,10.430812,2,0.24726322092685557,False
14,1.0000553,32.492363,1.5422053,0.0043068784,2.3481755,86,1.0,False
15,1.0000004,14.555803,1.9252924,0.00034722223,5.9738765,5,1.0,False
16,1.00009,13.065577,1.9711912,0.00028703702,3.0947394,31,0.9261494615721206,False
17,1.0000513,14.396898,1.5358962,0.0012010582,2.7030892,2,0.0,False
18,1.0000387,14.265329,1.3758348,0.0016243387,4.393875,1,0.0,False
19,1.00002,18.818481,2.0486114,0.0005297619,9.582503,1,0.0,False
20,1.0000685,11.737406,1.5953677,0.0012354497,4.2382894,3,0.0,False
21,1.0000534,11.113393,1.5856353,0.0007632275,3.728436,15,1.0,False
22,1.0000308,32.548466,1.7180458,0.023941137,0.7126326,73,0.17818986328100714,False
23,1.0000365,24.015066,1.580749,0.0040886244,2.7366276,33,0.0,False
24,1.0001104,20.499704,1.4952933,0.011500661,0.7740095,127,0.41830704125571216,False
25,1.0000143,15.054111,1.699828,0.00041335978,3.2232358,10,1.0,False
26,1.0000148,9.136573,1.513481,0.00039087303,4.6546583,9,0.9756245871906098,False
27,1.0000418,22.344103,1.8011272,0.00020238095,6.4592443,10,0.9643613117395602,False
28,1.0000428,11.701937,2.0280704,0.00028174603,2.866662,26,0.9142720721725702,False
29,1.0000598,13.542989,1.2091393,0.0018558201,3.8354447,59,0.007315387369337082,False
30,0.999985,14.17015,2.3293371,0.0055674603,1.1999191,38,0.15826170519665145,False
31,1.0000753,18.717737,1.9578458,0.00030291005,12.99983,3,1.0,False
32,1.0000769,14.397987,1.9497719,0.0002255291,12.793096,3,1.0,False
33,0.999989,10.906576,1.9597448,0.008896164,1.2167656,94,0.5686072464056083,False
34,1.0000739,17.376331,2.1971443,0.0013974868,4.661294,105,0.883081756563357,False
35,1.000045,15.214831,1.9510865,0.00027843914,8.568107,4,1.0,False
36,1.0000507,19.111797,1.580046,0.004100529,1.5321951,128,0.9811045648387782,True
37,1.0000696,11.438575,1.7909297,0.0010013228,2.442866,1,0.0,False
38,1.0000434,11.928642,1.5763206,0.004095238,1.923541,5,0.0,False
39,1.0000455,21.931744,1.5752976,0.0030601851,1.9403191,116,0.8487469067451309,False
40,1.0000775,12.492111,1.8096865,0.0032050265,2.263795,16,0.058968671819802115,False
41,1.0000547,12.161148,1.4741706,0.00042526456,12.069789,1,0.0,False
42,1.000047,11.835173,1.3845423,0.00026124337,13.837726,1,0.0,False
43,1.0000521,18.655153,1.0287504,0.0017037037,10.334693,1,0.0,False
44,1.0000657,6.8111897,2.397167,0.0054093916,1.1243569,19,0.0,False
45,1.0000219,15.591992,1.7715944,0.00027843914,6.6979275,9,0.9585712066867309,False
46,1.0000383,11.744225,1.950929,0.0029761905,1.9740015,2,0.0,False
47,1.000089,35.777935,1.4345114,0.0053525134,3.324557,47,0.9174548367220536,False
48,1.0000273,8.697256,1.3594077,0.002739418,1.5081658,17,0.12407575520857939,False
49,1.0000365,28.00357,1.540541,0.0049146824,3.2767825,50,0.9767448502637776,False
50,1.0000796,14.56024,1.7394125,0.004621693,1.0081776,126,0.7254038916032629,False
51,1.0001642,19.304619,1.9366673,0.0005601852,8.93719,1,0.0,False
52,1.000025,18.153198,1.9352211,0.00041666668,4.172167,11,0.973505874554787,False
53,1.0000403,19.148706,1.8234777,0.00047420635,9.905639,2,1.0,False
54,1.0000334,10.574688,1.5196205,0.000364418,3.2619948,35,0.39310954894780764,False
55,1.0000253,23.569345,1.8309106,0.0012433863,2.164414,16,0.0,False
56,1.000066,22.304718,1.9811418,0.0023842594,3.543884,38,0.9540097930082566,False
57,1.0000829,13.399189,1.320817,0.001513889,6.081336,2,0.0,False
58,1.0000219,11.117598,1.7739459,0.0030238095,1.9097586,59,0.702441417088258,False
59,1.0001148,5.626853,2.2393987,0.002864418,2.8121922,70,0.4132673754499455,False
60,1.0000446,13.857712,1.7719654,0.00029960318,10.175889,2,1.0,False
61,1.0000446,11.613544,2.1697013,0.0010542328,2.1331818,33,0.7274012546920381,False
62,1.0000887,7.541608,1.9467665,0.008650132,1.721765,84,0.26397670289014996,False
63,1.0000395,23.353642,1.7845856,0.00022156084,4.814653,14,0.9525649886140856,False
64,1.000053,12.998655,2.1259873,0.001300926,2.194442,116,0.9462193279414847,False
65,1.0000374,13.871019,1.5427611,0.0025873017,1.5834036,27,0.8593622590139348,False
66,1.0000063,12.205383,2.3574834,0.00018915343,3.0540957,7,0.0,False
67,1.0000958,14.870284,1.4290038,0.0042473543,1.7994708,9,0.0,False
68,1.0000561,8.484833,2.4059532,0.002587963,2.7335813,161,0.499414216212516,False
69,1.0000268,45.63543,1.0749768,0.0067275134,2.2903333,1,0.0,False
70,1.0000385,36.0309,1.3767053,0.0038406085,2.894671,1,0.0,False
71,1.000036,15.777238,1.938676,0.00027314815,6.023358,18,0.9841890904703993,False
72,1.0000457,10.9047785,2.159004,0.00051455025,3.5758154,27,0.9887231047133949,False
73,1.0000486,26.927214,1.4701072,0.0019424603,16.816,1,0.0,False
74,1.0000296,29.010975,1.4064999,0.008392196,1.5745912,1,0.0,False
75,1.0000792,11.978563,1.5030451,0.0019113757,2.5366013,2,0.0,False
76,1.0001125,27.947403,1.6069611,0.0014404762,1.201797,1,0.0,False
77,1.0000811,47.0586,1.3766677,0.006869709,0.8304879,175,0.8356425802210756,True
78,1.0000639,18.385645,1.8478978,0.0013141534,4.783738,1,0.0,False
79,1.0000588,27.281614,1.4643091,0.004246032,2.8930702,1,0.0,False
80,1.000029,12.408485,1.6376029,0.0029973546,1.691507,1,0.0,False
81,1.0000625,11.338869,1.5143911,0.0006322751,5.055907,11,0.0,False
82,1.0000631,17.812988,1.7833158,0.00023148148,7.894305,5,1.0,False
83,1.0000782,10.883533,1.6711445,0.00064748677,2.845985,35,0.8923936628403548,False
84,1.0000356,17.646664,1.2825522,0.004056217,1.5434237,1,0.0,False
85,0.9999948,36.22855,1.556953,0.035641536,0.8271993,124,0.47969425243847763,False
86,1.0000972,12.081297,1.5823117,0.00047420635,3.6493223,14,0.9736384307907785,False
87,1.0000498,11.276692,2.0360005,0.0003835979,5.804492,7,0.21848987311717996,False
88,1.0000272,11.602137,1.5702792,0.00040873015,3.5152411,11,0.9159584202946742,False
89,1.0000656,18.717157,1.8808678,0.0016283069,2.4834204,27,1.0,False
90,1.0000352,18.533012,1.7565211,0.00029761906,7.3213,7,0.8969951191356419,False
91,1.0000203,13.012587,1.4595718,0.00022619047,12.744635,2,1.0,False
92,1.0000348,14.798947,1.987073,0.0013981481,2.4489899,5,0.0,False
93,1.0000585,11.400127,1.9537425,0.0013220899,2.1486712,44,0.9000460988507534,False
94,1.0000659,9.396688,1.8794289,0.0008948413,4.55133,4,0.8339908191363656,False
95,1.0000608,23.38877,1.4508914,0.00307209,3.6643507,1,0.0,False
96,1.0000665,24.398422,2.0557098,0.0011613757,2.126327,60,0.06872298240605858,False
97,1.0000588,10.651593,1.5157515,0.0005760582,6.7941628,8,0.0,False
98,1.0000376,11.846239,2.0119202,0.00045568784,5.244889,1,0.0,False
100,1.0000921,18.782345,1.7348837,0.0010218254,3.7775483,7,1.0,False
