arm,c,layer,norm,proj_dbar,entropy
clean,0.0,6,94.0756607055664,-10.673049926757812,3.7579267024993896
clean,0.0,7,107.08421325683594,-14.51075553894043,3.7579267024993896
clean,0.0,8,124.74568176269531,-18.835689544677734,3.7579267024993896
clean,0.0,9,153.34385681152344,-25.005233764648438,3.7579267024993896
clean,0.0,10,233.6024169921875,-42.07048797607422,3.7579267024993896
clean,0.0,11,414.26031494140625,-35.89981460571289,3.7579267024993896
naive,1.0,6,107.64828491210938,-10.018412351608276,3.875848412513733
naive,1.0,7,118.810791015625,-14.292470216751099,3.875848412513733
naive,1.0,8,133.49772262573242,-18.731224536895752,3.875848412513733
naive,1.0,9,158.30002975463867,-24.173297882080078,3.875848412513733
naive,1.0,10,230.82466888427734,-40.84138011932373,3.875848412513733
naive,1.0,11,401.6611862182617,-36.26591396331787,3.875848412513733
naive,2.0,6,139.02297973632812,-9.363773703575134,3.5642836689949036
naive,2.0,7,150.8798713684082,-14.178671598434448,3.5642836689949036
naive,2.0,8,164.2520751953125,-19.21105718612671,3.5642836689949036
naive,2.0,9,186.86511611938477,-24.48254632949829,3.5642836689949036
naive,2.0,10,249.68858337402344,-40.96549129486084,3.5642836689949036
naive,2.0,11,421.8705825805664,-40.248409271240234,3.5642836689949036
shared,1.0,6,103.79595947265625,24.828845500946045,3.319623827934265
shared,1.0,7,113.11670303344727,19.25255036354065,3.319623827934265
shared,1.0,8,129.9468994140625,14.26890778541565,3.319623827934265
shared,1.0,9,154.98218536376953,8.987699627876282,3.319623827934265
shared,1.0,10,221.79955291748047,-7.206511497497559,3.319623827934265
shared,1.0,11,339.608642578125,-4.4193496108055115,3.319623827934265
shared,2.0,6,133.02528381347656,60.3307409286499,1.9248774945735931
shared,2.0,7,137.13321685791016,55.15670204162598,1.9248774945735931
shared,2.0,8,149.58273696899414,50.27273654937744,1.9248774945735931
shared,2.0,9,171.84926223754883,45.39120006561279,1.9248774945735931
shared,2.0,10,227.3537940979004,29.37787675857544,1.9248774945735931
shared,2.0,11,269.7749786376953,30.137996196746826,1.9248774945735931
shared_only,1.0,6,101.47902870178223,39.20900630950928,2.873453915119171
shared_only,1.0,7,109.12799072265625,34.052130699157715,2.873453915119171
shared_only,1.0,8,125.61033248901367,29.862378120422363,2.873453915119171
shared_only,1.0,9,151.10189056396484,24.158177852630615,2.873453915119171
shared_only,1.0,10,216.4519157409668,8.24915063381195,2.873453915119171
shared_only,1.0,11,313.2880630493164,11.280577659606934,2.873453915119171
shared_only,2.0,6,129.353910446167,89.091064453125,2.046370178461075
shared_only,2.0,7,130.17793083190918,86.16060256958008,2.046370178461075
shared_only,2.0,8,139.65671157836914,86.6776351928711,2.046370178461075
shared_only,2.0,9,158.37543487548828,83.3898754119873,2.046370178461075
shared_only,2.0,10,205.21910858154297,69.68112373352051,2.046370178461075
shared_only,2.0,11,248.5479621887207,71.15757751464844,2.046370178461075
