split,index,max_abs_cos_vs_fit,argmax_fit_index
test,3272,0.29974091053009033,23065
test,16355,0.2972860038280487,4326
test,14434,0.2994292676448822,16389
test,8925,0.29946669936180115,21450
test,23860,0.29715830087661743,23946
test,5843,0.2986106872558594,407
test,13094,0.29901009798049927,8580
test,7998,0.29720038175582886,7161
test,15503,0.29581427574157715,22979
test,4151,0.2992890179157257,20889
test,17590,0.29402869939804077,3285
test,835,0.2993488609790802,18111
dev,24487,0.29660943150520325,3228
dev,10388,0.2882010042667389,15526
dev,17242,0.29370978474617004,22061
dev,1171,0.2985902726650238,19848
dev,8475,0.29718565940856934,15194
dev,21592,0.2995670735836029,21823
