match_mode,arm,group,n_pairs,n_matched,n_skipped,skip_frac,n_features,mean_d_logppl,d_logppl_lo95,d_logppl_hi95,mean_d_keyword_hit,d_keyword_hit_lo95,d_keyword_hit_hi95,mean_d_rep4,d_rep4_lo95,d_rep4_hi95
rep4,antimanifold,all,96,91,5,0.052083333333333336,12,-0.9576275157510838,-1.510851337836384,-0.3400649609434352,-0.048443751717000924,-0.1244138989220651,0.02856286662563272,,,
rep4,antimanifold,c_n=0.0,12,12,0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,,,
rep4,antimanifold,c_n=0.5,12,12,0,0.0,12,-0.18262202007357806,-0.2760998591572001,-0.09278228379754026,-0.17510118814466638,-0.25349792727510123,-0.09662814988901947,,,
rep4,antimanifold,c_n=1.0,12,11,1,0.08333333333333333,11,-1.1681781326759142,-1.4786899346036848,-0.8395892507252408,-0.3197722489483763,-0.5136583223539746,-0.13264005746835875,,,
rep4,antimanifold,c_n=1.5,12,12,0,0.0,12,-1.7449640571461031,-2.499252329608145,-0.8937793239514655,-0.14664103798101955,-0.3439062814725217,0.043096625355017855,,,
rep4,antimanifold,c_n=2.0,12,12,0,0.0,12,-1.8166781479911143,-2.719860819566317,-0.6627200318609764,-0.013464496371731874,-0.1341861003656392,0.1094392432983263,,,
rep4,antimanifold,c_n=3.0,12,12,0,0.0,12,-1.247237136099962,-2.220461176896909,-0.175911853038247,0.09515217535322244,0.03287865476578855,0.17572422224169604,,,
rep4,antimanifold,c_n=4.0,12,11,1,0.08333333333333333,11,-0.7754369635367927,-1.8855946891302962,0.3528317817382279,0.1022172250922944,0.0507830294991537,0.1631773855274103,,,
rep4,antimanifold,c_n=5.0,12,9,3,0.25,9,-0.6518135043644188,-1.7877285753744259,0.606457793680334,0.0961531579889068,0.02592592592592592,0.17622785829307558,,,
rep4,dirfix,all,96,82,14,0.14583333333333334,12,-1.315710203885077,-1.7584271273473833,-0.8149215142890522,0.1120614078666593,-0.01699795166713504,0.23882421826019087,,,
rep4,dirfix,c_n=0.0,12,12,0,0.0,12,-0.00032140811284401644,-0.0005562921365105019,-0.00011536545223670795,0.0,0.0,0.0,,,
rep4,dirfix,c_n=0.5,12,9,3,0.25,9,-0.7763968442494347,-1.5603202787541126,-0.20170729828698272,-0.001447203165046833,-0.12428290689349195,0.08658658658658668,,,
rep4,dirfix,c_n=1.0,12,10,2,0.16666666666666666,10,-1.3238630611556237,-2.140096848609836,-0.46792449157926974,-0.07713340779399408,-0.3,0.1262115940675224,,,
rep4,dirfix,c_n=1.5,12,11,1,0.08333333333333333,11,-2.064026677362021,-2.882944706368972,-1.2196877175554584,0.022883764511925794,-0.2360546494263427,0.3007846361380741,,,
rep4,dirfix,c_n=2.0,12,11,1,0.08333333333333333,11,-2.2556742271678365,-3.2682870287109504,-1.2964834130406662,0.17165641570985532,-0.015129192086768618,0.3781272945524675,,,
rep4,dirfix,c_n=3.0,12,11,1,0.08333333333333333,11,-1.6312477058186183,-2.458021333370696,-0.816229736264674,0.3090714777697465,0.12315547517923633,0.5375641569894463,,,
rep4,dirfix,c_n=4.0,12,9,3,0.25,9,-1.411867014167681,-2.2567432111010013,-0.6355160703597104,0.2242860270878672,0.10088559272537555,0.3608640615958556,,,
rep4,dirfix,c_n=5.0,12,9,3,0.25,9,-1.0545488633420756,-1.9050107222422485,-0.2662537988761344,0.2683435410882018,0.1111111111111111,0.43680682777822966,,,
