arm,target_concept,c_at_target,nll,top1_acc,n_features_concept,n_features_capability
dirfix,0.25,0.45054945054945056,3.3574660691349862,0.38616914458090934,12,4
dirfix,0.3,0.5290322580645161,3.4575874473113344,0.3767059139784947,12,4
dirfix,0.4,0.6451612903225807,3.778897159197601,0.34784329538266917,12,4
naive,0.25,0.48809523809523814,3.430368671036123,0.37773459383753505,12,4
naive,0.3,0.6311475409836066,3.7215601799185354,0.34587929926068783,12,4
naive,0.4,0.9262295081967213,4.362843347258217,0.2757915461266473,12,4
rotate,0.25,0.46590909090909094,3.449051733441957,0.37566867201426024,12,4
rotate,0.3,0.7222222222222223,4.25596482885689,0.3030838779956426,12,4
rotate,0.4,,,,12,4
shared,0.25,0.48809523809523814,3.3792465408852346,0.38279738562091503,12,4
shared,0.3,0.5465116279069767,3.566553656275828,0.3692699498404013,12,4
shared,0.4,0.6511627906976745,3.976902421011101,0.34014204286365707,12,4
