arm,target_concept,c_at_target,nll,top1_acc,n_features_concept,n_features_capability
dirfix,0.25,0.5178571428571429,3.4266677627349775,0.379483368347339,4,4
dirfix,0.3,0.5714285714285714,3.574890992920606,0.36616876750700283,4,4
dirfix,0.4,0.6785714285714286,3.871337453291864,0.33953956582633055,4,4
naive,0.25,0.5294117647058824,3.5004641859501158,0.37004354094579006,4,4
naive,0.3,0.6176470588235293,3.692220427164432,0.3490859284890427,4,4
naive,0.4,0.7941176470588236,4.075732909593065,0.3071707035755478,4,4
rotate,0.25,0.45,3.439766302849265,0.3767264705882353,4,4
rotate,0.3,0.5599999999999999,3.6814433356311276,0.35441607843137257,4,4
rotate,0.4,0.8,4.531420339307598,0.27847254901960783,4,4
shared,0.25,0.5163934426229508,3.4484569261698663,0.37765284474445515,4,4
shared,0.3,0.5655737704918032,3.6412984221656775,0.36396432015429125,4,4
shared,0.4,0.6639344262295082,4.0269814141573,0.33658727097396335,4,4
