arm,predictor,spearman,p,n
cds,var_along,-0.04761904761904763,0.9108491685195836,8
cds,kappa_tilt,0.4761904761904762,0.23293553465009792,8
denoise_naive,var_along,0.3214285714285715,0.4820720382996778,7
denoise_naive,kappa_tilt,0.10714285714285716,0.8191508555699912,7
fsr,var_along,-0.14285714285714288,0.735764859879812,8
fsr,kappa_tilt,-0.14285714285714288,0.735764859879812,8
mts,var_along,-0.261904761904762,0.530922861565801,8
mts,kappa_tilt,0.5000000000000001,0.20703124999999994,8
norm_preserving,var_along,0.07142857142857144,0.879048193148154,7
norm_preserving,kappa_tilt,0.07142857142857144,0.879048193148154,7
