token_id,token_str,count,base_mean,delta_mean
3146, numbers,25,-4.257684808522463,-6.32279618665576
2041, special,38,-5.589462087987493,-5.835125877024104
2214, field,29,-3.7908444753523107,-5.66267526729054
1271, number,98,-3.128070667697288,-5.401592901653648
1171, public,94,-4.132855016460761,-5.301938913227554
1919, social,52,-4.423976732561221,-5.178082950413228
367, H,46,-4.434674675125912,-5.160660179255975
308, g,23,-6.1808078081711475,-5.102525738270387
327, C,65,-5.145605748318709,-4.962478472750921
347, B,90,-3.983796841294194,-4.898290570036301
3747, safety,29,-2.4206942928561554,-4.821649718471674
1402, small,63,-5.115346581719461,-4.7613578244511565
2176, specific,25,-5.446715864967555,-4.74041714804247
66,c,41,-3.6455603217785586,-4.740235340946194
399, N,36,-4.992959657787448,-4.737635659364363
900, set,70,-4.690482034611445,-4.705241839616897
2995, events,28,-4.103015997457468,-4.651940567275493
2839, private,32,-5.672622997095459,-4.643658522036276
1627, line,43,-3.7525290669392803,-4.594610740651978
2330, white,32,-5.263966042548418,-4.5639003328979015
3951, lines,24,-4.731295478355605,-4.516320038295817
2272, space,29,-4.540244771231865,-4.504510717787619
2270, break,25,-5.509120881557465,-4.487051603794098
360, D,74,-3.772396225977777,-4.464191832663051
1459, current,45,-5.7263669384850395,-4.452475706736246
1303, #,24,-4.099787144717993,-4.398050354066072
520, St,39,-5.104926531418012,-4.384411068776479
449, J,35,-5.045294271556694,-4.374648287106538
662, pre,23,-6.8970392190891765,-4.3609644511471615
477, all,417,-3.7780269666878357,-4.359061371205218
2457, final,37,-3.751637409718053,-4.357072459080734
584, other,263,-3.3673949809342147,-4.347621787820603
511, their,480,-2.7227561508385407,-4.346267725527044
1957, local,49,-5.231879389635762,-4.345759805443945
1021, hand,28,-3.559594375393187,-4.340174469242422
1061, follow,27,-5.932855107166149,-4.3394805766918045
772, even,166,-4.711245439318289,-4.32740837998172
4268, drop,21,-4.0518277649368555,-4.317501625134832
1969, close,45,-4.679139945853805,-4.311339069622369
2742, legal,47,-5.1284721351050315,-4.2685738551489845
288, d,29,-5.6249685061389005,-4.244668494010794
262, the,9515,-1.56127215704616,-4.242993339104207
1400, No,50,-4.4035253182565794,-4.235530467578211
670, work,141,-3.633836442802815,-4.233482824704536
2615, building,32,-4.418274941854179,-4.223124925978482
71,h,29,-2.675420230056951,-4.200074935272604
1633, air,33,-4.636508683250709,-4.199165135142253
257, a,4157,-2.103770130121611,-4.193063049536756
275, b,36,-6.016687338085224,-4.1916578127226485
4384, debate,24,-4.293461663027604,-4.189157294730346
2520, South,27,-4.79931405628169,-4.173604592129036
1029, high,87,-4.653097744278767,-4.162466780574599
1103, real,62,-4.993363461970735,-4.152582483753869
2116, self,28,-6.1429426457200735,-4.143850373370307
1729, non,42,-5.338039428173077,-4.1426701203343415
645, no,254,-3.598716393820852,-4.139519259036557
311, S,50,-4.515365418512374,-4.13890539922053
1281, post,67,-4.604082307760923,-4.129547405101831
968, New,96,-4.085325232733642,-4.11352925964214
1351, list,31,-3.816170924253041,-4.106784715737787
886, end,86,-3.4657047039471824,-4.074777332703086
2368, third,45,-4.733536607689327,-4.061105348004235
1877, low,42,-5.051885327634712,-4.043039172666059
251,�,849,-3.630767354013857,-4.028553080210545
1336, full,49,-5.134872573370836,-4.015813814742224
555, un,22,-5.986505367539146,-4.0024063478816645
986,...,32,-5.9394618682563305,-3.992691542953253
3002, cover,21,-5.276368670520329,-3.968435511525188
845, very,167,-4.672278475250581,-3.9663900662280476
265,at,46,-3.40706518132356,-3.9458409320150567
407, not,675,-2.6701349484906705,-3.9308195273299416
1448, group,82,-3.2125114048036134,-3.9264045265026204
2055, community,45,-3.946322073870235,-3.9215813152388566
1743, official,32,-3.907387720857514,-3.9127776817476843
3190, completely,23,-6.21372073629628,-3.9107776724773915
67,d,61,-2.7005955609042087,-3.9031632139920505
65,b,53,-2.3578736183281883,-3.9022825016521514
2648, share,47,-3.5320242652842935,-3.894361263881635
277, f,32,-6.109275922179222,-3.8891985695809126
852, being,197,-3.7001457559318593,-3.8838796561853046
2184, court,44,-3.172006571538408,-3.880811998239633
869, call,34,-3.51507952976424,-3.8717070694410185
4137, forced,21,-5.128322338990291,-3.8612796818183384
3227, production,32,-5.160521324723959,-3.8586317487061024
302, re,26,-6.487941796963032,-3.850734105476967
3271, David,34,-5.075869758120355,-3.845352537710877
406, L,75,-4.270150566585362,-3.8247334549451866
1790, short,40,-4.13831004363019,-3.806368391145952
517, more,471,-3.2497388861078638,-3.805702645795193
530, one,443,-4.014426953543699,-3.8055677867421798
1479, free,76,-4.253796160229524,-3.8050219594220644
2060, single,49,-4.4904439246700125,-3.7965553482633307
691, only,230,-3.9225326290273146,-3.7820831904066323
569, V,31,-4.8131293428521005,-3.7788227426428946
509, K,65,-3.8060315256293578,-3.7670232880932204
448,out,21,-2.285432657526274,-3.764932311996485
635, also,297,-3.345906122507659,-3.757698885620037
58,[,26,-5.874101464564983,-3.7517372369766235
1445, move,39,-4.450292683564699,-3.7437417828119717
1339, case,72,-2.927544488468104,-3.7332450333568787
3081, quality,25,-5.110842208862305,-3.7306224703788757
402, G,60,-4.696560917732616,-3.704099623393268
1642, making,61,-4.551881673883219,-3.7031847595191394
1111, both,96,-5.480814730127652,-3.6926032304763803
1074, team,118,-3.0713827357848444,-3.68833741369673
1588, large,41,-4.685362980263762,-3.6862055226399493
3012, Google,25,-4.024576176032424,-3.6856065563112494
1471, Or,25,-4.8260094356536865,-3.6850353980064394
2723, source,36,-3.8698502269851613,-3.6727509857656613
2694, ability,21,-4.050652985061918,-3.6710685335454487
790, every,113,-4.617872429265748,-3.661052032888958
39,H,38,-3.9532564392215326,-3.6552659445687343
1342, less,84,-4.21861348929815,-3.5874350065354346
2472, total,31,-4.4586989842054825,-3.5795928403329578
4305, leaving,21,-5.331040680408478,-3.5598165052277704
1767, body,32,-2.9900156427174807,-3.556312818225706
1812, State,57,-2.3658692384661553,-3.541654920403584
1644, police,48,-3.5086105396039784,-3.5285183199836565
1803, press,37,-4.825024290973119,-3.5207778434583767
366," """,483,-2.52778242512097,-3.520160296204448
1123, each,73,-4.40979669655973,-3.520104483234033
1353, top,70,-3.730900993224616,-3.5178172386918116
376, F,77,-4.546007275170126,-3.5025375433411305
2746, model,31,-4.851749304802187,-3.501448454395417
1719, having,51,-4.324888475695808,-3.5000500108352766
4172, families,23,-4.229617228974467,-3.495030636696711
1621, story,62,-3.3134643765600145,-3.4936868127993113
3072, phone,32,-3.342819661949761,-3.4853853231761605
890, long,106,-4.145921176510318,-3.4844539437645103
649, new,248,-3.706815561734519,-3.483966002289127
1263, big,67,-4.971302495741132,-3.4803449584921795
11,",",9513,-1.4542245295765162,-3.4777816300145856
350, P,74,-5.13367388919869,-3.4767354879440973
439,all,21,-3.341810091498441,-3.4701789301831183
1097, car,35,-3.77415267101356,-3.4691920199564525
1104, support,89,-3.5445658382575838,-3.4643172668729267
710,ne,32,-2.252960426957202,-3.4641900806394688
1628, project,53,-3.638080951162473,-3.457248735889564
1231, without,81,-5.023329718742681,-3.457224313362306
