token_id,token_str,count,base_mean,delta_mean
13750, riders,21,-2.170192008926755,-7.422854247547331
10571, km,23,-1.2339392229509742,-6.1246439682157785
5481, Bur,21,-2.4216134036015275,-5.685384049429558
3516, guy,29,-3.7688086156187386,-5.548156158677463
1978, together,41,-3.1809163678937207,-5.482043225204617
2472, total,31,-4.4586989842054825,-5.325002693270723
4899, tools,27,-3.482935066576357,-5.150672815464161
3641, center,29,-4.165084661273607,-5.128681763300094
3690, throughout,25,-5.362991241216659,-5.090531774759293
6612, Jackson,21,-2.882980485757192,-5.024099596909114
7092, Sports,21,-3.656670391559601,-5.007692470437004
7432, threats,22,-3.1621705446582795,-4.99432925298937
1918, death,49,-3.4896826674800594,-4.979464207006124
14,/,253,-2.070272703772724,-4.974806423961752
3146, numbers,25,-4.257684808522463,-4.972443079203368
4045, overall,26,-4.972572970848817,-4.894365840233289
2393, file,21,-2.189948224967035,-4.829717992655269
303,ve,100,-2.0652174730759363,-4.817237165852239
2585, states,35,-2.609690676097359,-4.813808254152536
976, same,120,-2.474092330482866,-4.786396217398579
2506, everyone,44,-5.216752525080334,-4.777222854169931
1222, &,39,-4.405894994162596,-4.758823811052702
1854, others,48,-3.5352109340795628,-4.710862909210846
2650, release,31,-3.362086248002015,-4.700310709026281
3349, growth,28,-3.1822082764868225,-4.661642983289701
3794, India,38,-2.71587287121771,-4.6516497198210445
4381, agreement,22,-3.962291132150726,-4.64352991381152
2392, longer,32,-1.7609889683285473,-4.552838835029888
502, me,170,-2.0941306870649843,-4.527582470897366
3653,men,22,-1.1320782949385995,-4.521043534094298
2456, words,30,-2.936642336457347,-4.518352687746907
2997, billion,50,-1.1794351561553775,-4.516678156089038
1334, rest,28,-4.712764214647385,-4.512620148458933
4477, continues,28,-4.690834281134552,-4.506089332413727
3160, lives,41,-2.8536950550013698,-4.48638714774137
56,Y,23,-3.23543610085756,-4.396010698648752
1203,less,29,-1.992635523605337,-4.3926341902075245
5349, FBI,25,-4.228523840904236,-4.377587704658508
4133, resources,26,-4.271379982336209,-4.374988888032161
2073, else,42,-2.265990873222195,-4.345738345624081
2540, began,36,-3.9689954585499234,-4.339296347565121
3280, answer,27,-3.402040834480431,-4.337869587067636
3250, Park,24,-1.754678422541474,-4.336969459473039
3592, society,32,-4.081340792006813,-4.314009727560915
251,�,849,-3.630767354013857,-4.3118534470552925
4640, executive,30,-4.3472126503785455,-4.290365280707676
2651, forward,38,-2.3501773966035167,-4.26137428345943
1257, fun,22,-4.644715393131429,-4.249836989424445
7312, Seattle,27,-3.173645849512131,-4.23856883585729
2008, video,49,-3.1169246150541823,-4.234890196881048
4538, draft,22,-4.292510375168852,-4.2263985644094655
3227, production,32,-5.160521324723959,-4.2235605753958225
1998, experience,38,-3.952779894645669,-4.207518929664634
5928, domestic,23,-4.971284982950791,-4.206935869610828
2460, friends,29,-3.0553027031750513,-4.206403237992319
82,s,1347,-1.0991727580821435,-4.184140426472505
1175, war,30,-3.8852788998202112,-4.181922333089945
11010, Gaza,23,-2.450238029594007,-4.174709005200344
2607, office,42,-1.6435154002780716,-4.164353752375713
10191, lawmakers,21,-3.419031015464238,-4.152444410891761
584, other,263,-3.3673949809342147,-4.144528316115666
2342, watch,32,-2.9354934482453245,-4.140431006011568
1256, lot,82,-1.858586693228018,-4.138314786934998
3741, majority,31,-2.468794711031801,-4.1330948723405
1429, process,54,-2.6638318595510944,-4.112815293172995
2678, countries,34,-2.77394959081293,-4.098888690720368
30,?,332,-1.679006121609669,-4.096131904044878
2842, ways,32,-2.7610170268908405,-4.09155536950675
2406, coming,39,-4.588552428743778,-4.088519766162603
3859, platform,24,-4.546068588892619,-4.0616781910260515
3162, Congress,28,-3.6189302188743437,-4.060004201983768
297,ll,50,-1.9959777394251432,-4.0514685225172435
1411, percent,97,-0.5525561578658208,-4.046444534501733
4395, shooting,25,-3.9015673727542164,-4.033475142046809
1204, life,119,-2.7646704198589096,-4.022885568987798
3685, violence,32,-2.9307637790916488,-4.019413760048337
3437, director,36,-2.768945355951372,-4.0046913179361985
2482, results,33,-3.8308097395029934,-4.002527379628384
1123, each,73,-4.40979669655973,-3.9972395883180996
2241, himself,40,-4.407297937432304,-3.989200349291787
1988, value,36,-4.467136989037196,-3.9890816973315344
2888, member,25,-2.6518510833382605,-3.978527744710446
1180, different,88,-3.9457545929419044,-3.9771747969683604
2643, statement,47,-2.338886577358588,-3.9656284356767193
5054, dollars,25,-2.3866644410043953,-3.9610497882217173
3693,.[,33,-4.037764354185625,-3.93456524068659
5006, cars,25,-3.657973437309265,-3.934068818092346
4706, manager,24,-3.3446328012893596,-3.9315752318749824
7713, investors,28,-3.775761469383724,-3.9145940555691983
2457, final,37,-3.751637409718053,-3.914355087068838
2648, share,47,-3.5320242652842935,-3.914346820816021
2589, moment,25,-2.893813594132662,-3.8842061392962934
2279, everything,27,-5.434055618665837,-3.8840867247846385
1111, both,96,-5.480814730127652,-3.8823986003796263
2488, @,22,-3.0159699901599777,-3.879273145205595
2157, behind,44,-4.6963259447366,-3.8785862998867575
3337, Center,27,-2.2838881592249014,-3.873717826575524
2173, points,46,-1.8112494246224347,-3.8679942914244276
3265, population,30,-3.902739679813385,-3.8558293620745343
2494, rate,23,-1.7385491521057228,-3.8306893282367485
2156, house,21,-3.132986918091774,-3.8232348667723794
1573, word,32,-3.938845012231468,-3.8100959175390017
1430, program,31,-3.3245832146175447,-3.8035267750101704
2137, player,39,-2.4010433704138565,-3.8026417298481254
