token_id,token_str,count,base_mean,delta_mean
13750, riders,21,-2.170192008926755,-11.643662798972358
3773, economy,41,-3.0110905083214363,-9.728603700312172
2585, states,35,-2.609690676097359,-9.07180313755359
983, game,120,-2.3002763591478774,-8.092920396127253
4956, Democrats,38,-4.315397998183279,-7.9764166945272965
2137, player,39,-2.4010433704138565,-7.901075331398691
2855, bill,77,-2.2964328662915663,-7.878728323555613
2151, party,49,-3.7449305094018275,-7.815117944260033
1938, players,48,-3.2078088534375033,-7.723788573096195
4875, digital,21,-5.60527955918085,-7.671238172621953
2214, field,29,-3.7908444753523107,-7.649812662532801
3466, teams,34,-2.838825604714015,-7.621670077609665
1664, company,93,-2.820433291696733,-7.589127318192554
2646, film,35,-3.7216926310743603,-7.464007846798216
2746, model,31,-4.851749304802187,-7.456621104671109
4538, draft,22,-4.292510375168852,-7.287347869989886
3012, Google,25,-4.024576176032424,-7.286619546189904
3292, trade,33,-3.7469180476949657,-7.275699299617731
3034, economic,31,-4.810218298627484,-7.151451769375031
4652, league,32,-3.03238562727347,-7.127011721488088
4576, EU,33,-2.5955720733512533,-7.073967269875787
1074, team,118,-3.0713827357848444,-6.993707648991466
4390, Democratic,30,-4.595575868089994,-6.967777932683627
6853, lawyer,31,-2.102388530488937,-6.899807612261464
3331, bank,24,-4.454301097430289,-6.897650044721862
1988, value,36,-4.467136989037196,-6.8671568665239535
1693, job,56,-3.5452821190701798,-6.837471173494123
5627, housing,25,-2.846251780986786,-6.745454503297805
5928, domestic,23,-4.971284982950791,-6.698970926844555
1181, state,122,-3.6168721232899146,-6.664836397318201
1459, current,45,-5.7263669384850395,-6.653885115517511
3234, race,25,-4.208644429184496,-6.648950919173658
7092, Sports,21,-3.656670391559601,-6.634116544609977
3491, star,22,-4.052348830483177,-6.630328655242919
3845, Senate,43,-3.4652813834159875,-6.6269748410166684
4837, researchers,30,-3.478903090953827,-6.617275818188986
7237, emails,24,-2.6308143168571405,-6.613580561689256
2485, gun,36,-3.349986611141099,-6.607240791122119
1351, list,31,-3.816170924253041,-6.604084686766709
3348, paper,29,-4.168816760824672,-6.596284162253141
6085, Israeli,24,-4.031379327178001,-6.471783513824144
1398, class,30,-4.4021364813049635,-6.457328903178374
4899, tools,27,-3.482935066576357,-6.413468175464206
4068, Iran,26,-2.965570167853282,-6.408493709105712
11010, Gaza,23,-2.450238029594007,-6.398018340701642
3053, email,29,-2.546880485871325,-6.3802632893122535
1430, program,31,-3.3245832146175447,-6.318169094381793
2706, companies,55,-2.9388805863532155,-6.312560482729564
3597, writing,22,-4.800302758812904,-6.311253619464962
4734, Republicans,32,-3.1240126667544246,-6.300913886167109
4466, budget,25,-4.260229524672031,-6.296259836852551
2907, Star,26,-3.7473738599711885,-6.278245055403273
4865, border,33,-2.837125461492123,-6.236031034848455
2742, legal,47,-5.1284721351050315,-6.223159485991966
2756, price,26,-3.7402856957453947,-6.2059002323792525
4640, executive,30,-4.3472126503785455,-6.170193181435267
2785, potential,28,-4.587332879858358,-6.148947250630175
3072, phone,32,-3.342819661949761,-6.14274085953366
3662, administration,29,-2.4533831440875757,-6.084722924367364
2423, review,28,-3.382026837606515,-6.079154888167977
3146, numbers,25,-4.257684808522463,-6.068761371821166
1628, project,53,-3.638080951162473,-6.06809206392818
7713, investors,28,-3.775761469383724,-6.062037544075533
2457, final,37,-3.751637409718053,-6.058801384340669
6612, Jackson,21,-2.882980485757192,-6.049680633204323
3278, poll,33,-3.244734911756082,-6.025600323397102
1621, story,62,-3.3134643765600145,-6.011570300659043
3096, board,27,-3.2938043539378903,-5.996713647335936
3074, situation,37,-3.771270427177188,-5.970338469593805
3394, Russian,26,-3.748824186049975,-5.932407000890146
2168, series,70,-3.6475365572742056,-5.92231334405286
2694, ability,21,-4.050652985061918,-5.916215381452016
966, point,65,-2.741510485356244,-5.897176225239841
2831, industry,38,-3.1556165445792046,-5.870695409806151
3415, Republican,41,-4.30807284683716,-5.860180679617859
1803, press,37,-4.825024290973119,-5.857618839045785
2975, road,31,-3.860902702616107,-5.8259511022798485
2708, article,30,-2.609259236487075,-5.792461470134731
3708, drive,25,-4.5622373879700895,-5.792409676238895
2033, amount,34,-3.4777722165865055,-5.7915141354588915
1492, book,38,-2.787127546146573,-5.778834319855761
2292, position,34,-3.5917122740955914,-5.768512046512434
10191, lawmakers,21,-3.419031015464238,-5.758924453031449
4196, Apple,44,-3.4760260446505113,-5.71562157977711
6796, GOP,23,-5.280876766080442,-5.71014504329018
1830, games,44,-2.431561196561564,-5.686593664471399
1366, data,46,-3.4507090565950973,-5.684045476757961
2691, online,40,-4.053144061468629,-5.668251097299072
1499, country,104,-2.046944033179898,-5.65821732569468
2422, military,28,-3.51896618945258,-5.657983788422175
3164, approach,21,-4.258141001065572,-5.641119048708961
3265, population,30,-3.902739679813385,-5.628712948163351
3139, capital,21,-4.294376144806544,-5.615704969281242
1700, record,40,-3.3487660602899267,-5.6072275160579
3288, natural,22,-4.4506842771714386,-5.581468310545791
5349, FBI,25,-4.228523840904236,-5.578321270942688
2520, South,27,-4.79931405628169,-5.560912928095571
1575, cost,35,-3.562934046132224,-5.544495553629739
3807, movie,38,-3.53648874433221,-5.544199380876593
1255, result,28,-3.264406895264983,-5.537382520469171
297,ll,50,-1.9959777394251432,-5.522426011232892
3951, lines,24,-4.731295478355605,-5.502428365735492
3176, financial,29,-4.629224254906274,-5.468718658494443
2947, Post,30,-2.599590047157229,-5.441208563043256
2835, round,48,-3.2240918223493886,-5.435037620918592
3516, guy,29,-3.7688086156187386,-5.422213065213171
