ref_c,arm,concept_at_budget,delta_mean,delta_lo95,delta_hi95,p_gt_0
1.5,cds,0.4800915769361829,-0.056342347120078386,-0.1591497276487315,0.0661309145543539,0.172
1.5,clean,0.09090909090909091,-0.44832059175201594,-0.6517521300161991,-0.2569682697346112,0.0
1.5,denoise_naive,0.5352740948383147,0.010678146625165443,-0.1279423694458609,0.16061086015903583,0.546
1.5,fsr,0.5393767554739876,0.01750652639773813,-0.016379730734549115,0.049765964035668867,0.826
1.5,mts,0.26375012894229105,-0.26827980654161143,-0.46965356693944066,-0.05415531370195806,0.008
1.5,naive,0.5137917445140431,0.0,0.0,0.0,0.0
1.5,norm_preserving,0.46674913803667367,-0.04476827844674091,-0.1553689651989684,0.08166687769666663,0.202
2.0,cds,0.45666361877799444,-0.05988485165952168,-0.17218566608165436,0.07103253559089631,0.172
2.0,clean,0.08333333333333333,-0.4421872172149589,-0.6578395223730467,-0.23802176037121625,0.0
2.0,denoise_naive,0.4855002022178796,-0.019535950343136713,-0.18899209909303266,0.1426165171277091,0.406
2.0,fsr,0.503228861023247,0.0028016531076415405,-0.03570946052776799,0.04003066467690861,0.572
2.0,mts,0.2872847126098903,-0.2235980353719029,-0.45528899813559764,0.006472434252272363,0.034
2.0,naive,0.514341215588613,0.0,0.0,0.0,0.0
2.0,norm_preserving,0.4704118647431057,-0.035015349231135154,-0.14742929658872797,0.09457038017490348,0.276
