feature,arm,c,logppl,concept,n
2851,dirfix,0.0,3.442927018801371,0.03333333333333333,30
2851,dirfix,0.5,3.4810986359914144,0.06666666666666667,30
2851,dirfix,1.0,3.7464387814203897,0.8666666666666667,30
2851,dirfix,1.25,3.81991651058197,0.9666666666666667,30
2851,dirfix,1.5,3.934454147020976,1.0,30
2851,dirfix,2.0,2.784186259905497,1.0,30
2851,dirfix,2.5,2.5196240464846293,1.0,30
2851,dirfix,3.0,2.186527105172475,1.0,30
2851,naive,0.0,3.443090081214905,0.03333333333333333,30
2851,naive,0.5,3.870521648724874,0.23333333333333334,30
2851,naive,1.0,4.943233593304952,0.5333333333333333,30
2851,naive,1.25,5.380214564005533,0.4666666666666667,30
2851,naive,1.5,6.060240888595581,0.1,30
2851,naive,2.0,6.7257187525431315,0.0,30
2851,naive,2.5,6.5816064675649,0.0,30
2851,naive,3.0,6.343635114034017,0.0,30
3758,dirfix,0.0,3.4431234995524087,0.3333333333333333,30
3758,dirfix,0.5,3.6263994137446085,0.6666666666666666,30
3758,dirfix,1.0,4.197802567481995,0.9333333333333333,30
3758,dirfix,1.25,4.591171280543009,1.0,30
3758,dirfix,1.5,5.076270778973897,0.9666666666666667,30
3758,dirfix,2.0,5.705517061551412,0.9333333333333333,30
3758,dirfix,2.5,3.937975279490153,0.9666666666666667,30
3758,dirfix,3.0,3.689775041739146,0.9,30
3758,naive,0.0,3.443090081214905,0.3333333333333333,30
3758,naive,0.5,4.091627875963847,0.7,30
3758,naive,1.0,5.289038300514221,0.6333333333333333,30
3758,naive,1.25,5.9907502174377445,0.2,30
3758,naive,1.5,6.744165277481079,0.13333333333333333,30
3758,naive,2.0,7.5864517052968345,0.03333333333333333,30
3758,naive,2.5,7.760179090499878,0.03333333333333333,30
3758,naive,3.0,7.343518129984537,0.0,30
4752,dirfix,0.0,3.442927018801371,0.3333333333333333,30
4752,dirfix,0.5,3.5798539400100706,0.2,30
4752,dirfix,1.0,3.9638285636901855,0.3,30
4752,dirfix,1.25,3.977930291493734,0.26666666666666666,30
4752,dirfix,1.5,4.450756255785624,0.3,30
4752,dirfix,2.0,4.982375065485637,0.23333333333333334,30
4752,dirfix,2.5,5.7283769130706785,0.5666666666666667,30
4752,dirfix,3.0,6.385877084732056,0.5333333333333333,30
4752,naive,0.0,3.443090081214905,0.3333333333333333,30
4752,naive,0.5,3.6238942464192707,0.3333333333333333,30
4752,naive,1.0,4.016168522834778,0.5,30
4752,naive,1.25,4.232240955034892,0.5333333333333333,30
4752,naive,1.5,4.400590618451436,0.6333333333333333,30
4752,naive,2.0,5.553728246688843,0.5666666666666667,30
4752,naive,2.5,5.8616142749786375,0.6666666666666666,30
4752,naive,3.0,6.157926448186239,0.6666666666666666,30
6046,dirfix,0.0,3.442927018801371,0.0,30
6046,dirfix,0.5,3.493190892537435,0.06666666666666667,30
6046,dirfix,1.0,3.7625427921613057,0.03333333333333333,30
6046,dirfix,1.25,3.779777197043101,0.0,30
6046,dirfix,1.5,2.9815630336602528,0.0,30
6046,dirfix,2.0,1.568224131067594,0.0,30
6046,dirfix,2.5,1.1673865258693694,0.0,30
6046,dirfix,3.0,1.0778967320919037,0.0,30
6046,naive,0.0,3.443090081214905,0.0,30
6046,naive,0.5,4.238037141164144,0.4,30
6046,naive,1.0,5.619142810503642,0.7333333333333333,30
6046,naive,1.25,6.200313329696655,0.36666666666666664,30
6046,naive,1.5,6.868231646219889,0.26666666666666666,30
6046,naive,2.0,7.419258324305217,0.16666666666666666,30
6046,naive,2.5,7.350824912389119,0.03333333333333333,30
6046,naive,3.0,7.503396622339884,0.03333333333333333,30
10134,dirfix,0.0,3.442927018801371,0.2,30
10134,dirfix,0.5,3.671059012413025,0.23333333333333334,30
10134,dirfix,1.0,4.894168933232625,0.4,30
10134,dirfix,1.25,6.306076733271281,0.4,30
10134,dirfix,1.5,6.2546549320220945,0.13333333333333333,30
10134,dirfix,2.0,5.004940211772919,0.0,30
10134,dirfix,2.5,4.758379220962524,0.0,30
10134,dirfix,3.0,4.110622803370158,0.0,30
10134,naive,0.0,3.443090081214905,0.2,30
10134,naive,0.5,3.798672890663147,0.13333333333333333,30
10134,naive,1.0,6.170310242970785,0.2,30
10134,naive,1.25,6.912449296315511,0.23333333333333334,30
10134,naive,1.5,7.028794129689534,0.03333333333333333,30
10134,naive,2.0,6.456087334950765,0.03333333333333333,30
10134,naive,2.5,6.2011039574941,0.0,30
10134,naive,3.0,6.087667608261109,0.0,30
12625,dirfix,0.0,3.442927018801371,0.03333333333333333,30
12625,dirfix,0.5,3.632458305358887,0.3,30
12625,dirfix,1.0,4.690371298789978,0.9,30
12625,dirfix,1.25,5.661266239484151,0.9333333333333333,30
12625,dirfix,1.5,6.03085618019104,1.0,30
12625,dirfix,2.0,5.3908337195714315,1.0,30
12625,dirfix,2.5,5.151095684369405,0.9666666666666667,30
12625,dirfix,3.0,4.1369699239730835,0.6666666666666666,30
12625,naive,0.0,3.443090081214905,0.03333333333333333,30
12625,naive,0.5,4.044872760772705,0.2,30
12625,naive,1.0,5.845081170399983,0.3333333333333333,30
12625,naive,1.25,6.621902147928874,0.2,30
12625,naive,1.5,7.071293242772421,0.16666666666666666,30
12625,naive,2.0,7.021221907933553,0.03333333333333333,30
12625,naive,2.5,6.852568340301514,0.0,30
12625,naive,3.0,6.679020023345947,0.0,30
13178,dirfix,0.0,3.442927018801371,0.1,30
13178,dirfix,0.5,3.5181143045425416,0.2,30
13178,dirfix,1.0,3.967668358484904,0.8,30
13178,dirfix,1.25,4.108379554748535,0.8333333333333334,30
13178,dirfix,1.5,3.918078847726186,0.9666666666666667,30
13178,dirfix,2.0,3.5154777646064757,1.0,30
13178,dirfix,2.5,3.2396633783976236,1.0,30
13178,dirfix,3.0,3.704035226504008,1.0,30
13178,naive,0.0,3.443090081214905,0.1,30
13178,naive,0.5,3.673911190032959,0.16666666666666666,30
13178,naive,1.0,4.310605049133301,0.5333333333333333,30
13178,naive,1.25,4.882918977737427,0.7,30
13178,naive,1.5,5.337777757644654,0.9,30
13178,naive,2.0,6.379407318433126,0.9333333333333333,30
13178,naive,2.5,6.981602398554484,0.9666666666666667,30
13178,naive,3.0,7.577065881093343,0.8666666666666667,30
14067,dirfix,0.0,3.442927018801371,0.16666666666666666,30
14067,dirfix,0.5,3.4780946731567384,0.4666666666666667,30
14067,dirfix,1.0,3.9618667443593343,1.0,30
14067,dirfix,1.25,4.109767031669617,1.0,30
14067,dirfix,1.5,4.087525184949239,1.0,30
14067,dirfix,2.0,3.3449379563331605,1.0,30
14067,dirfix,2.5,2.1087177217006685,0.9333333333333333,30
14067,dirfix,3.0,1.6757243514060973,0.9666666666666667,30
14067,naive,0.0,3.443090081214905,0.16666666666666666,30
14067,naive,0.5,4.052721961339315,0.5666666666666667,30
14067,naive,1.0,4.961492919921875,0.8,30
14067,naive,1.25,5.527216506004334,0.9666666666666667,30
14067,naive,1.5,6.027845811843872,0.9333333333333333,30
14067,naive,2.0,7.1598842938741045,1.0,30
14067,naive,2.5,7.5232996622721355,1.0,30
14067,naive,3.0,7.532091887791951,1.0,30
16446,dirfix,0.0,3.442927018801371,0.03333333333333333,30
16446,dirfix,0.5,3.4450011332829793,0.3333333333333333,30
16446,dirfix,1.0,3.8787511507670085,1.0,30
16446,dirfix,1.25,3.2761579553286233,1.0,30
16446,dirfix,1.5,1.991150959332784,0.8,30
16446,dirfix,2.0,1.2735319932301838,0.26666666666666666,30
16446,dirfix,2.5,0.9828800121943156,0.0,30
16446,dirfix,3.0,0.7582847197850545,0.0,30
16446,naive,0.0,3.443090081214905,0.03333333333333333,30
16446,naive,0.5,3.9687132358551027,0.36666666666666664,30
16446,naive,1.0,5.152781009674072,0.7,30
16446,naive,1.25,5.225976173082987,0.43333333333333335,30
16446,naive,1.5,4.6310704231262205,0.1,30
16446,naive,2.0,2.465243019660314,0.03333333333333333,30
16446,naive,2.5,1.7790938516457875,0.06666666666666667,30
16446,naive,3.0,1.4306314408779144,0.03333333333333333,30
18537,dirfix,0.0,3.442927018801371,0.03333333333333333,30
18537,dirfix,0.5,3.6165655056635537,0.03333333333333333,30
18537,dirfix,1.0,4.277562443415324,0.5666666666666667,30
18537,dirfix,1.25,4.923001257578532,0.7333333333333333,30
18537,dirfix,1.5,5.5326744000116985,0.9,30
18537,dirfix,2.0,5.974747411410013,0.9333333333333333,30
18537,dirfix,2.5,5.772810530662537,0.9,30
18537,dirfix,3.0,4.843640534083049,0.9666666666666667,30
18537,naive,0.0,3.443090081214905,0.03333333333333333,30
18537,naive,0.5,3.8861764510472616,0.06666666666666667,30
18537,naive,1.0,5.30624459584554,0.3,30
18537,naive,1.25,5.923011016845703,0.36666666666666664,30
18537,naive,1.5,6.596529769897461,0.6333333333333333,30
18537,naive,2.0,7.032418298721313,0.3333333333333333,30
18537,naive,2.5,6.910392586390177,0.26666666666666666,30
18537,naive,3.0,6.843967692057292,0.13333333333333333,30
18931,dirfix,0.0,3.442927018801371,0.0,30
18931,dirfix,0.5,3.5992740233739218,0.06666666666666667,30
18931,dirfix,1.0,4.523971120516459,0.06666666666666667,30
18931,dirfix,1.25,5.6967019240061445,0.06666666666666667,30
18931,dirfix,1.5,6.026112731297811,0.23333333333333334,30
18931,dirfix,2.0,5.66197988986969,0.36666666666666664,30
18931,dirfix,2.5,5.2188573201497395,0.16666666666666666,30
18931,dirfix,3.0,4.432850948969523,0.13333333333333333,30
18931,naive,0.0,3.443090081214905,0.0,30
18931,naive,0.5,3.932688530286153,0.26666666666666666,30
18931,naive,1.0,4.881512252489726,0.6,30
18931,naive,1.25,5.496976470947265,0.6,30
18931,naive,1.5,6.138162453969319,0.4666666666666667,30
18931,naive,2.0,6.513975556691488,0.2,30
18931,naive,2.5,6.243493191401163,0.16666666666666666,30
18931,naive,3.0,6.0954235076904295,0.06666666666666667,30
24082,dirfix,0.0,3.442927018801371,0.03333333333333333,30
24082,dirfix,0.5,3.522699578603109,0.06666666666666667,30
24082,dirfix,1.0,3.7633941253026326,0.03333333333333333,30
24082,dirfix,1.25,4.3631984949111935,0.0,30
24082,dirfix,1.5,4.591353480021159,0.03333333333333333,30
24082,dirfix,2.0,5.45401934782664,0.03333333333333333,30
24082,dirfix,2.5,5.199730877081553,0.0,30
24082,dirfix,3.0,3.9619146863619488,0.0,30
24082,naive,0.0,3.443090081214905,0.03333333333333333,30
24082,naive,0.5,3.6706190665562946,0.3,30
24082,naive,1.0,4.842080934842428,0.5,30
24082,naive,1.25,5.5468843619028725,0.43333333333333335,30
24082,naive,1.5,5.346755830446879,0.23333333333333334,30
24082,naive,2.0,4.068987584114074,0.1,30
24082,naive,2.5,3.7686383883158365,0.1,30
24082,naive,3.0,3.375360985596975,0.1,30
