feature,arm,ref_c,budget_logppl,concept_at_budget
2851,dirfix,1.0,4.943233593304952,1.0
2851,naive,1.0,4.943233593304952,0.5333333333333333
3758,dirfix,1.0,5.289038300514221,1.0
3758,naive,1.0,5.289038300514221,0.7
4752,dirfix,1.0,4.016168522834778,0.39185850655043947
4752,naive,1.0,4.016168522834778,0.5
6046,dirfix,1.0,5.619142810503642,0.06666666666666667
6046,naive,1.0,5.619142810503642,0.7333333333333333
10134,dirfix,1.0,6.170310242970785,0.4
10134,naive,1.0,6.170310242970785,0.22620291906629791
12625,dirfix,1.0,5.845081170399983,1.0
12625,naive,1.0,5.845081170399983,0.3333333333333333
13178,dirfix,1.0,4.310605049133301,1.0
13178,naive,1.0,4.310605049133301,0.5333333333333333
14067,dirfix,1.0,4.961492919921875,1.0
14067,naive,1.0,4.961492919921875,0.8
16446,dirfix,1.0,5.152781009674072,1.0
16446,naive,1.0,5.152781009674072,0.7
18537,dirfix,1.0,5.30624459584554,0.9666666666666667
18537,naive,1.0,5.30624459584554,0.3
18931,dirfix,1.0,4.881512252489726,0.15236037602962946
18931,naive,1.0,4.881512252489726,0.6
24082,dirfix,1.0,4.842080934842428,0.06666666666666667
24082,naive,1.0,4.842080934842428,0.5
