run,arm,n,frac_identical_to_naive_at_c0
scored_expA_r3.csv,antimanifold,360,1.0
scored_expA_r3.csv,dirfix,360,1.0
scored_expA_r3.csv,naive,360,1.0
scored_expA_r3.csv,residual,360,1.0
scored_expA_r3.csv,shared,360,1.0
scored_expA_r3.csv,shared_only,360,1.0
scored_expF_r3.csv,centred,360,1.0
scored_expF_r3.csv,diffmeans,360,1.0
scored_expF_r3.csv,diffmeans_purified,360,1.0
scored_expF_r3.csv,dirfix,360,1.0
scored_expF_r3.csv,naive,360,1.0
scored_expF_r3.csv,purified,360,1.0
scored_expF_r3.csv,rotate,360,1.0
scored_expF_r3.csv,shared,360,1.0
scored_expF_ent_clean.csv,dirfix,360,1.0
scored_expF_ent_clean.csv,naive,360,1.0
scored_layer10.csv,dirfix,360,1.0
scored_layer10.csv,naive,360,1.0
scored_layer10.csv,shared,360,1.0
