arm,feature,c,dist1,dist2,dist3
dirfix,359,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,359,0.5,0.5913875598086125,0.8947368421052632,0.907177033492823
dirfix,359,1.0,0.17979610750695088,0.3484708063021316,0.4893419833178869
dirfix,359,1.25,0.06836248012718601,0.1478537360890302,0.23926868044515104
dirfix,359,1.5,0.03414264036418816,0.07435508345978756,0.1267071320182094
dirfix,359,2.0,0.005598320503848845,0.012596221133659902,0.0244926522043387
dirfix,359,2.5,0.0020833333333333333,0.00625,0.014583333333333334
dirfix,359,3.0,0.0020833333333333333,0.004166666666666667,0.00625
dirfix,1344,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,1344,0.5,0.649059982094897,0.9310653536257834,0.9301700984780662
dirfix,1344,1.0,0.3350970017636684,0.572310405643739,0.7028218694885362
dirfix,1344,1.25,0.21330902461257975,0.4275296262534184,0.6426618049225159
dirfix,1344,1.5,0.11277602523659307,0.2823343848580442,0.5165615141955836
dirfix,1344,2.0,0.08786936236391912,0.25194401244167963,0.5108864696734059
dirfix,1344,2.5,0.047619047619047616,0.17965367965367965,0.44516594516594515
dirfix,1344,3.0,0.03982930298719772,0.16571834992887624,0.43385490753911804
dirfix,4317,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,4317,0.5,0.6328195829555757,0.9329102447869447,0.9265639165911151
dirfix,4317,1.0,0.641459074733096,0.9368327402135231,0.943950177935943
dirfix,4317,1.25,0.6487488415199258,0.9369786839666358,0.9425393883225208
dirfix,4317,1.5,0.6180811808118081,0.9243542435424354,0.9400369003690037
dirfix,4317,2.0,0.6039963669391463,0.9064486830154405,0.9282470481380564
dirfix,4317,2.5,0.5421245421245421,0.8836996336996337,0.9331501831501832
dirfix,4317,3.0,0.5058930190389845,0.8585675430643699,0.9174977334542158
dirfix,4398,0.0,0.6165480427046264,0.9110320284697508,0.9225978647686833
dirfix,4398,0.5,0.5671768707482994,0.923469387755102,0.9319727891156463
dirfix,4398,1.0,0.4,0.8416326530612245,0.9355102040816327
dirfix,4398,1.25,0.36042692939244664,0.7996715927750411,0.9211822660098522
dirfix,4398,1.5,0.3016129032258065,0.6943548387096774,0.8508064516129032
