arm,c,matched,mismatched,specificity
dirfix,0.0,0.1083,0.1083,0.0
dirfix,0.5,0.225,0.1058,0.1192
dirfix,1.0,0.575,0.124,0.451
dirfix,1.25,0.6,0.1205,0.4795
dirfix,1.5,0.6111,0.1126,0.4985
dirfix,2.0,0.5639,0.0869,0.477
dirfix,2.5,0.5417,0.076,0.4657
dirfix,3.0,0.5139,0.0636,0.4503
naive,0.0,0.1083,0.1083,0.0
naive,0.5,0.3111,0.0934,0.2177
naive,1.0,0.5306,0.0899,0.4407
naive,1.25,0.4583,0.0884,0.3699
naive,1.5,0.3833,0.0788,0.3045
naive,2.0,0.2861,0.0679,0.2182
naive,2.5,0.275,0.0598,0.2152
naive,3.0,0.2417,0.053,0.1887
